Time,0,1,2,3,4
0,0,0,0,0,0
1,7.94182679156549,7.94182679156549,7.94182679156549,7.94182679156549,7.94182679156549
2,13.481916534973077,21.1252781038097,18.533339718277315,15.906675789990793,13.481916534973077
3,21.544793446585064,32.21908489238406,28.379747900926557,25.53256222969231,21.544793446585064
4,29.04331834347913,42.91606706820181,38.139279846830306,36.03434581775937,29.04331834347913
5,35.968179677959384,55.48350859683558,48.9570805870167,44.98286573040288,35.968179677959384
6,43.57844314720406,66.33071189867572,59.012369828257846,57.270477435996604,43.57844314720406
7,49.966887110054046,77.25302576352703,71.66851515422258,66.34378802489056,49.966887110054046
8,55.75838864125051,89.16690222704476,81.863058434525,79.63208755510028,55.75838864125051
9,67.74150436428731,101.16214846715795,94.69327130931632,92.17495291666084,64.18441591300198
10,78.944164489944,112.30979402104285,103.14275112422438,100.5935861923605,70.71253309129024
11,90.22230585558037,125.40300949075495,115.28007951960109,112.45908502686305,76.62974051638115
12,104.19599521633857,139.52534284063907,128.3713937176323,122.69758024088496,85.23734296820237
13,116.50426089621088,144.8923783502409,140.6711851585805,131.2863826205625,91.23835432255623
14,127.12387789828045,157.29447347333138,152.16784933919058,144.2546707420678,99.29557208120336
15,138.7039442238355,168.81767184227223,163.73994279095885,155.56759372576278,105.38038736482018
16,148.5663306254418,181.3825065185536,175.38746551388533,164.32656520941822,112.86859733490144
17,161.1997462621496,195.00149592934406,186.20865196996348,173.14225972773295,120.40802081731006
18,173.00625630764367,208.70811433031423,198.9146010248404,182.014677280707,127.30859990343369
19,183.06024893381374,223.48766510654627,210.78841156124145,193.11424155998384,133.56102304557643
20,195.01772145926714,237.3695414878759,223.65682366168983,202.99869154450573,141.9534565212754
21,207.97628705281045,250.34122504713457,235.68149274040724,215.6583128642384,148.99370882283728
22,218.22188590354432,264.39835940882364,249.6431446825714,228.39734643249412,158.20656187489098
23,228.53135349579944,279.5534630001116,262.755251351377,243.04699879452693,167.47993998696793
24,241.73378155696938,291.7526564361532,275.94858954296836,256.86613243592166,174.6598655039681
25,252.17098663226702,307.0955364349692,288.2749757063185,270.7703506293053,182.60899708499562
26,263.6267035233422,319.4449509970331,301.63077694348135,285.6922735577027,191.3366462777464
27,278.9938926991097,334.97560740337707,315.06780970342993,297.8900758820827,199.38820488342867
28,293.4877262898299,350.600152013485,328.58607398616425,312.0495477314332,206.01774570725473
29,309.040715440932,366.3185848273569,340.24278467661003,326.29410413277265,213.430459916652
30,324.6866045797014,380.02259637597473,354.90070681408054,337.7578168954353,220.8897318645287
31,338.45804506533347,393.807977701188,368.6626656651721,350.2505790000437,227.6449785822492
32,349.3423313312799,406.60805564131914,382.5058560390494,359.91711903824785,235.95260474956828
33,364.2716336141905,422.70204127024704,396.4302779357124,374.50201364754304,245.07133894554622
34,380.289122703629,436.73153192524666,410.4359313551612,388.1939941980749,251.95229155716115
35,393.3788138287775,449.75694155441136,423.51661023009325,401.96538699712977,261.9519703895171
36,405.5312806273573,465.04088177861655,435.6607100572535,412.84816239165525,271.23831244402095
37,417.7534224166876,479.31448176340257,447.87443690394434,424.78834864545604,281.3590413964234
38,433.11819339178857,494.7736799679672,460.15779077016583,437.797290365464,289.97394863770666
39,447.5399337910917,500,473.54018672973064,450.879972030529,297.8522402318981
40,463.0243612091033,500,485.96279463501344,463.0243612091033,307.3620594311032
41,476.2545227642825,500,500,476.2545227642825,315.33346650225354
42,490.9201256312123,500,500,490.5818013029985,322.5496348309203
43,500,500,500,500,331.4206096338404
44,500,500,500,500,340.34279794908787
45,500,500,500,500,349.3161997766627
46,500,500,500,500,359.16123469291966
47,500,500,500,500,366.58691284474384
48,500,500,500,500,375.71395520930076
49,500,500,500,500,386.5609848819822
50,500,500,500,500,396.62949694294036
51,500,500,500,500,405.06648139888495
52,500,500,500,500,414.39837781275133
53,500,500,500,500,423.7814877389451
54,500,500,500,500,431.50047964318964
55,500,500,500,500,442.71065967601055
56,500,500,500,500,451.3804328243522
57,500,500,500,500,462.71166297721965
58,500,500,500,500,472.3508404650502
59,500,500,500,500,483.80312073796415
60,500,500,500,500,491.77352442999756
61,500,500,500,500,500
