state,action,reward,next_state,done
"[22.0, 204.9022216796875, 179.04678344726562, 206.55227661132812, 215.59796142578125, 219.27418518066406, 4.900000095367432, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[24.0, 231.35153198242188, 197.9056854248047, 231.35153198242188, 235.28688049316406, 236.1260528564453, 4.900000095367432, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[24.0, 231.35153198242188, 197.9056854248047, 231.35153198242188, 235.28688049316406, 236.1260528564453, 4.900000095367432, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[26.0, 256.7995300292969, 215.41754150390625, 256.4733581542969, 256.7995300292969, 256.7995300292969, 4.800000190734863, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[26.0, 256.7995300292969, 215.41754150390625, 256.4733581542969, 256.7995300292969, 256.7995300292969, 4.800000190734863, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[27.0, 266.87432861328125, 224.2603759765625, 266.87432861328125, 266.87432861328125, 268.60809326171875, 4.800000190734863, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[27.0, 266.87432861328125, 224.2603759765625, 266.87432861328125, 266.87432861328125, 268.60809326171875, 4.800000190734863, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[28.0, 277.93682861328125, 233.15943908691406, 277.93682861328125, 277.93682861328125, 278.666748046875, 4.699999809265137, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[28.0, 277.93682861328125, 233.15943908691406, 277.93682861328125, 277.93682861328125, 278.666748046875, 4.699999809265137, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[30.0, 296.5232849121094, 251.94041442871094, 296.5232849121094, 297.22344970703125, 298.9965515136719, 4.699999809265137, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[30.0, 296.5232849121094, 251.94041442871094, 296.5232849121094, 297.22344970703125, 298.9965515136719, 4.699999809265137, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[31.0, 311.4185791015625, 261.0082092285156, 307.1182861328125, 309.441162109375, 307.3902893066406, 4.699999809265137, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[31.0, 311.4185791015625, 261.0082092285156, 307.1182861328125, 309.441162109375, 307.3902893066406, 4.699999809265137, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[32.0, 325.33154296875, 269.3027648925781, 315.8406677246094, 319.84503173828125, 319.5935363769531, 4.599999904632568, 5.972210884094238, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[32.0, 325.33154296875, 269.3027648925781, 315.8406677246094, 319.84503173828125, 319.5935363769531, 4.599999904632568, 5.972210884094238, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[34.0, 351.24932861328125, 288.5489501953125, 338.3343200683594, 339.886474609375, 341.4024353027344, 4.199999809265137, 6.815487861633301, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[34.0, 351.24932861328125, 288.5489501953125, 338.3343200683594, 339.886474609375, 341.4024353027344, 4.199999809265137, 6.815487861633301, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[35.0, 363.22906494140625, 297.8417053222656, 349.5240173339844, 349.5240173339844, 350.9716796875, 3.9000000953674316, 5.815487861633301, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[35.0, 363.22906494140625, 297.8417053222656, 349.5240173339844, 349.5240173339844, 350.9716796875, 3.9000000953674316, 5.815487861633301, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[37.0, 395.0882263183594, 316.5958557128906, 369.6204833984375, 369.9603576660156, 372.21832275390625, 3.5, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[37.0, 395.0882263183594, 316.5958557128906, 369.6204833984375, 369.9603576660156, 372.21832275390625, 3.5, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[39.0, 420.64532470703125, 333.849609375, 392.24737548828125, 390.635986328125, 393.7442626953125, 3.200000047683716, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[39.0, 420.64532470703125, 333.849609375, 392.24737548828125, 390.635986328125, 393.7442626953125, 3.200000047683716, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[41.0, 453.23284912109375, 355.66986083984375, 418.86151123046875, 414.5379333496094, 414.5379333496094, 3.200000047683716, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[41.0, 453.23284912109375, 355.66986083984375, 418.86151123046875, 414.5379333496094, 414.5379333496094, 3.200000047683716, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[42.0, 470.2281188964844, 365.3562316894531, 431.69573974609375, 425.5316467285156, 425.5316467285156, 3.200000047683716, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",False
"[42.0, 470.2281188964844, 365.3562316894531, 431.69573974609375, 425.5316467285156, 425.5316467285156, 3.200000047683716, 1.5, 1.4666666984558105, 1.2000000476837158, 1.100000023841858]",5,0.0,"[43.0, 485.03900146484375, 376.8702392578125, 442.2502136230469, 435.5866394042969, 435.5866394042969, 3.0999999046325684, 1.5, 1.5666667222976685, 1.2000000476837158, 1.100000023841858]",False
"[43.0, 485.03900146484375, 376.8702392578125, 442.2502136230469, 435.5866394042969, 435.5866394042969, 3.0999999046325684, 1.5, 1.5666667222976685, 1.2000000476837158, 1.100000023841858]",5,0.0,"[44.0, 499.9314880371094, 388.4507141113281, 455.2158508300781, 444.6907653808594, 444.6907653808594, 3.0999999046325684, 1.5, 1.5666667222976685, 1.2000000476837158, 1.100000023841858]",False
"[44.0, 499.9314880371094, 388.4507141113281, 455.2158508300781, 444.6907653808594, 444.6907653808594, 3.0999999046325684, 1.5, 1.5666667222976685, 1.2000000476837158, 1.100000023841858]",5,1.2,"[55.0, 500.0, 500.0, 500.0, 500.0, 500.0, 3.0999999046325684, 1.5, 1.5666667222976685, 1.2000000476837158, 1.100000023841858]",True
