reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
0.575,40.21211624145508,19,36.912628173828125,34,"[2, 2, 4, 8, 2]","[3, 3, 1, 6, 3]",6,3,4,46
-0.27,176.17953491210938,25,46.38780212402344,38,"[4, 3, 2, 5, 5]","[2, 5, 6, 3, 3]",5,2,4,47
-0.5585093930363655,220.55838012695312,17,36.431358337402344,31,"[1, 3, 2, 4, 4]","[3, 1, 4, 4, 5]",9,4,2,48
0.8568541491031647,97.51079559326172,20,41.61073684692383,36,"[2, 3, 4, 5, 3]","[3, 4, 1, 3, 8]",9,4,3,49
10.05,124.49101257324219,15,51.45240020751953,39,"[5, 6, 2, 6, 1]","[7, 3, 7, 0, 2]",5,2,1,50
-0.645,400.1725769042969,13,35.329559326171875,28,"[0, 3, 4, 3, 6]","[1, 4, 2, 1, 4]",8,4,4,51
-0.78,63.72520065307617,28,38.63629913330078,38,"[4, 4, 4, 7, 2]","[6, 5, 3, 2, 1]",6,3,0,52
-0.3,422.89599609375,16,51.045467376708984,39,"[4, 3, 4, 5, 7]","[6, 3, 3, 2, 2]",8,4,3,53
0.2109752742946148,159.21011352539062,17,45.957637786865234,37,"[4, 3, 1, 5, 3]","[4, 7, 3, 3, 4]",3,1,4,54
0.8311948043107986,616.5746459960938,17,36.51166534423828,38,"[2, 4, 1, 5, 4]","[3, 4, 5, 6, 4]",7,3,4,55
-0.24,111.31611633300781,21,41.016456604003906,39,"[3, 3, 4, 4, 4]","[3, 7, 3, 3, 5]",3,1,4,56
-0.705,91.23049926757812,20,35.90303039550781,35,"[5, 2, 4, 5, 3]","[4, 3, 2, 2, 5]",0,0,2,57
0.255,504.4967041015625,22,42.06285858154297,31,"[3, 1, 4, 3, 5]","[3, 3, 4, 3, 2]",8,4,0,58
0.6255248335003852,51.56618881225586,21,40.50741195678711,45,"[3, 4, 3, 7, 5]","[3, 4, 4, 3, 9]",9,4,2,59
0.155,68.87783813476562,17,37.94762420654297,35,"[4, 2, 3, 2, 4]","[3, 4, 5, 3, 5]",5,2,2,60
-0.3787689104676247,50.629764556884766,19,45.25419998168945,38,"[6, 1, 3, 1, 4]","[4, 9, 2, 6, 2]",3,1,3,61
-0.5642039667069912,230.87820434570312,16,34.618309020996094,32,"[2, 1, 1, 5, 3]","[6, 6, 4, 1, 3]",1,0,1,62
-0.6941494177281856,57.06081771850586,26,27.859350204467773,38,"[6, 5, 5, 4, 1]","[1, 2, 5, 2, 7]",9,4,4,63
-0.855,73.80561828613281,18,19.97854232788086,39,"[4, 4, 2, 4, 4]","[4, 2, 2, 5, 8]",9,4,0,64
0.5532159124314785,33.99995040893555,21,25.739755630493164,35,"[5, 4, 1, 3, 5]","[2, 7, 2, 2, 4]",3,1,3,65
0.1682387635111809,574.888916015625,19,33.26900863647461,38,"[1, 6, 1, 4, 2]","[5, 1, 3, 8, 7]",7,3,2,66
-0.12,172.060791015625,18,35.051273345947266,35,"[3, 4, 3, 6, 4]","[2, 2, 1, 6, 4]",7,3,1,67
-0.075,241.4251708984375,23,48.867088317871094,37,"[2, 5, 2, 5, 4]","[5, 3, 6, 3, 2]",5,2,2,68
0.255,339.34954833984375,17,38.87422180175781,32,"[5, 5, 4, 2, 3]","[3, 2, 4, 1, 3]",0,0,2,69
-0.555,98.19913482666016,22,42.20426940917969,36,"[5, 3, 1, 3, 6]","[4, 2, 5, 3, 4]",8,4,4,70
-0.315,57.35010528564453,13,46.92024612426758,39,"[5, 3, 3, 6, 4]","[4, 2, 1, 7, 4]",7,3,2,71
1.4988782180845737,326.9169616699219,25,57.291847229003906,40,"[3, 4, 4, 5, 1]","[6, 4, 2, 4, 7]",9,4,2,72
