reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
-0.48,50.818641662597656,13,34.709632873535156,34,"[2, 4, 6, 6, 3]","[1, 1, 3, 4, 4]",4,2,4,5335
0.585,143.7386474609375,19,43.48046875,41,"[2, 3, 5, 5, 3]","[7, 4, 3, 6, 3]",1,0,2,5336
0.345,77.27212524414062,22,35.91973114013672,31,"[1, 2, 3, 2, 4]","[2, 4, 8, 1, 4]",5,2,2,5337
-1.635,85.95858001708984,20,32.03889083862305,39,"[6, 0, 6, 5, 3]","[2, 4, 8, 1, 4]",5,2,2,5338
-1.2052377842366695,40.37822723388672,15,24.819164276123047,35,"[6, 1, 3, 6, 1]","[4, 4, 3, 2, 5]",0,0,4,5339
-0.1879597796499729,49.8260383605957,15,24.74254608154297,38,"[0, 1, 7, 1, 8]","[6, 3, 5, 5, 2]",8,4,1,5340
0.07,220.3700714111328,17,37.623836517333984,37,"[9, 2, 3, 2, 2]","[4, 3, 2, 5, 5]",0,0,4,5341
-0.7122798028588295,45.09196090698242,23,30.73776626586914,35,"[4, 4, 3, 3, 2]","[1, 3, 5, 4, 6]",9,4,4,5342
0.765,190.81658935546875,16,32.610740661621094,36,"[4, 2, 3, 1, 3]","[2, 6, 6, 5, 4]",3,1,2,5343
-0.39,42.58198547363281,12,28.235157012939453,38,"[4, 2, 5, 5, 4]","[6, 5, 1, 3, 3]",1,0,4,5344
0.29,26.319686889648438,22,30.1442928314209,38,"[2, 2, 8, 4, 2]","[6, 5, 2, 4, 3]",4,2,4,5345
-0.43007919311523435,40.332035064697266,15,31.9984073638916,34,"[3, 3, 3, 1, 5]","[2, 4, 4, 5, 4]",8,4,3,5346
0.6254193243384362,389.8701477050781,22,36.864688873291016,42,"[5, 4, 5, 6, 3]","[4, 6, 3, 1, 5]",3,1,2,5347
-0.3225,218.842529296875,26,46.40214538574219,40,"[10, 0, 2, 5, 6]","[4, 3, 3, 4, 3]",0,0,3,5348
0.7175,51.403892517089844,21,38.748600006103516,40,"[1, 4, 5, 7, 5]","[6, 2, 5, 4, 1]",6,3,3,5349
1.3184491024911404,80.00518798828125,17,40.27895736694336,36,"[2, 0, 5, 4, 5]","[5, 4, 1, 4, 6]",9,4,4,5350
0.48,117.09465789794922,20,34.69908905029297,43,"[4, 5, 3, 4, 2]","[8, 6, 3, 6, 2]",1,0,0,5351
-0.15,49.874080657958984,15,39.21261978149414,33,"[4, 3, 2, 4, 5]","[1, 2, 4, 2, 6]",9,4,1,5352
0.62,278.83197021484375,31,46.911598205566406,39,"[3, 2, 5, 4, 7]","[5, 5, 0, 6, 2]",8,4,4,5353
-0.355,79.09892272949219,23,36.068267822265625,36,"[2, 9, 4, 3, 3]","[2, 6, 5, 2, 0]",2,1,1,5354
-0.0675,66.93744659423828,20,46.20249938964844,34,"[3, 6, 2, 3, 0]","[4, 4, 1, 4, 7]",9,4,4,5355
0.7731370015442371,536.653076171875,24,54.99152755737305,41,"[5, 1, 3, 5, 3]","[5, 3, 7, 6, 3]",5,2,4,5356
-0.9882441747188568,80.3551254272461,20,45.050018310546875,36,"[3, 3, 4, 2, 4]","[3, 6, 6, 3, 2]",5,2,1,5357
1.77,78.24698638916016,23,41.418174743652344,38,"[3, 2, 5, 4, 2]","[3, 5, 5, 6, 3]",7,3,0,5358
0.795,124.7531967163086,23,49.89801025390625,37,"[4, 6, 5, 6, 1]","[4, 5, 2, 2, 2]",2,1,2,5359
-0.18228858530521394,83.1862564086914,13,50.803123474121094,35,"[4, 3, 5, 2, 5]","[1, 6, 7, 0, 2]",5,2,2,5360
-0.4275,113.4804458618164,26,42.47718811035156,39,"[3, 5, 6, 1, 2]","[4, 2, 3, 5, 8]",9,4,4,5361
-0.06,69.05558013916016,20,35.82958221435547,33,"[4, 2, 2, 3, 5]","[4, 3, 4, 4, 2]",8,4,4,5362
-1.0215712717175485,55.693458557128906,19,38.546329498291016,42,"[5, 4, 6, 7, 9]","[0, 2, 3, 1, 5]",8,4,2,5363
-0.7097890020906925,58.368934631347656,17,38.619178771972656,40,"[4, 3, 2, 2, 4]","[7, 4, 4, 6, 4]",1,0,4,5364
0.21,100.18231201171875,21,31.737619400024414,34,"[2, 2, 3, 4, 4]","[6, 6, 3, 1, 3]",1,0,2,5365
-0.4575,27.793798446655273,26,27.73844337463379,45,"[4, 6, 4, 3, 5]","[4, 3, 4, 3, 9]",9,4,4,5366
0.15,164.83700561523438,19,31.84562110900879,36,"[4, 6, 1, 5, 5]","[3, 2, 2, 2, 6]",2,1,3,5367
0.8025,26.261131286621094,28,35.016929626464844,38,"[4, 0, 2, 4, 8]","[4, 1, 3, 8, 4]",7,3,2,5368
0.465,105.98760986328125,23,38.27281951904297,36,"[6, 2, 5, 3, 2]","[1, 2, 7, 3, 5]",5,2,0,5369
0.3805954894423485,59.41984176635742,22,39.026607513427734,42,"[5, 1, 6, 5, 3]","[4, 4, 5, 4, 5]",4,2,3,5370
0.3,282.6690368652344,13,34.33879470825195,32,"[1, 2, 4, 5, 5]","[2, 7, 3, 2, 1]",3,1,4,5371
0.87,85.36163330078125,23,37.584407806396484,40,"[1, 3, 4, 3, 7]","[5, 3, 4, 6, 4]",8,4,4,5372
1.02,39.99759292602539,21,30.1340389251709,35,"[1, 4, 4, 2, 5]","[6, 0, 5, 3, 5]",1,0,3,5373
0.46,23.052791595458984,24,24.478445053100586,41,"[1, 6, 4, 5, 2]","[6, 4, 2, 5, 6]",2,1,2,5374
-1.185,114.88185119628906,19,29.704265594482422,39,"[2, 5, 2, 4, 6]","[7, 2, 4, 6, 1]",1,0,0,5375
-0.325,73.96397399902344,21,36.81123733520508,38,"[4, 7, 3, 7, 4]","[5, 1, 2, 2, 3]",6,3,3,5376
-0.24,55.71488952636719,12,28.005329132080078,32,"[2, 4, 7, 3, 3]","[4, 3, 3, 2, 1]",4,2,4,5377
-0.36,49.165679931640625,17,24.292354583740234,32,"[4, 4, 5, 4, 2]","[1, 2, 3, 4, 3]",4,2,3,5378
-0.2958768744766712,11.658066749572754,18,14.723899841308594,33,"[2, 3, 5, 2, 5]","[5, 2, 1, 4, 4]",8,4,4,5379
0.72,381.77459716796875,19,23.65236473083496,33,"[4, 1, 1, 4, 3]","[3, 3, 6, 4, 4]",5,2,3,5380
-0.5355387718975544,15.604777336120605,19,15.39356517791748,34,"[2, 6, 5, 1, 3]","[3, 4, 1, 4, 5]",2,1,3,5381
0.0,2289.303466796875,8,24.205026626586914,37,"[4, 4, 6, 5, 2]","[6, 5, 1, 3, 1]",4,2,0,5382
-0.81,51.535552978515625,19,16.10947036743164,34,"[5, 4, 4, 5, 2]","[3, 1, 6, 4, 0]",5,2,2,5383
0.45,13.18338680267334,19,14.619746208190918,36,"[4, 2, 2, 3, 4]","[1, 8, 2, 7, 3]",3,1,0,5384
0.011007722765207291,380.4390869140625,18,17.897647857666016,37,"[4, 4, 4, 7, 1]","[2, 5, 4, 3, 3]",6,3,1,5385
0.735,495.3282775878906,18,25.846878051757812,37,"[2, 3, 3, 3, 3]","[6, 3, 4, 5, 5]",1,0,0,5386
-5.13,199.36807250976562,19,27.85842514038086,32,"[5, 2, 3, 4, 1]","[8, 4, 3, 1, 1]",1,0,1,5387
-0.3,134.8585968017578,10,36.47574996948242,33,"[1, 3, 4, 3, 5]","[3, 8, 1, 3, 2]",3,1,3,5388
0.495,280.7692565917969,14,32.28288650512695,36,"[6, 1, 1, 2, 3]","[6, 3, 4, 5, 5]",1,0,4,5389
-0.365,67.64129638671875,22,28.96213150024414,38,"[3, 3, 4, 6, 5]","[2, 3, 2, 3, 7]",9,4,4,5390
-0.195,278.6941223144531,17,29.273681640625,35,"[1, 6, 3, 5, 4]","[2, 5, 2, 3, 4]",2,1,2,5391
2.5984737414121626,370.11480712890625,30,34.52324676513672,38,"[5, 0, 6, 6, 1]","[4, 2, 5, 3, 6]",9,4,0,5392
-1.1012039764225483,48.50124740600586,15,33.50601577758789,29,"[3, 2, 2, 1, 3]","[4, 5, 2, 3, 4]",3,1,3,5393
-0.09373513177037239,428.20745849609375,21,29.652027130126953,31,"[1, 3, 4, 5, 3]","[4, 1, 1, 4, 5]",9,4,4,5394
0.305,112.0587158203125,26,41.87149429321289,39,"[5, 5, 2, 1, 3]","[6, 4, 6, 2, 5]",5,2,2,5395
0.755,453.2222900390625,18,48.154998779296875,35,"[4, 3, 7, 5, 3]","[2, 2, 3, 5, 1]",4,2,4,5396
-0.48,97.35490417480469,16,44.41785430908203,31,"[3, 4, 3, 2, 2]","[2, 1, 6, 3, 5]",5,2,3,5397
-2.445,1143.08935546875,25,47.582237243652344,44,"[2, 5, 4, 2, 7]","[2, 5, 5, 4, 8]",9,4,0,5398
0.39,139.97991943359375,18,47.32366180419922,32,"[4, 4, 2, 0, 3]","[4, 3, 3, 2, 7]",9,4,4,5399
-1.2363193695247174,151.24041748046875,11,48.76255416870117,32,"[1, 1, 6, 3, 3]","[5, 3, 1, 7, 2]",7,3,3,5400
-0.32197135195136073,303.6802978515625,19,43.826629638671875,36,"[4, 7, 5, 4, 1]","[3, 3, 4, 3, 2]",2,1,2,5401
0.512665787190199,79.70523834228516,15,39.663570404052734,37,"[1, 5, 1, 8, 3]","[2, 5, 6, 4, 2]",6,3,4,5402
-0.315,118.9478759765625,22,45.85763931274414,37,"[5, 6, 5, 3, 1]","[3, 5, 2, 3, 4]",2,1,2,5403
0.9872562344372272,464.35064697265625,17,42.75261688232422,30,"[4, 1, 3, 1, 5]","[4, 1, 3, 5, 3]",8,4,2,5404
-0.165,113.75566101074219,17,36.78515625,32,"[3, 2, 2, 5, 3]","[3, 1, 4, 3, 6]",9,4,1,5405
0.585,187.6588897705078,17,41.317325592041016,33,"[3, 1, 2, 2, 4]","[4, 4, 5, 2, 6]",9,4,3,5406
0.015,163.4820556640625,25,43.68907928466797,37,"[4, 6, 2, 3, 1]","[4, 5, 4, 3, 5]",2,1,2,5407
0.135,93.97059631347656,24,31.33355712890625,38,"[3, 2, 7, 6, 3]","[2, 5, 3, 4, 3]",4,2,4,5408
-0.78,35.24853515625,23,28.445636749267578,33,"[4, 5, 2, 4, 6]","[1, 1, 4, 1, 5]",8,4,4,5409
0.69,363.8869934082031,19,35.7219352722168,37,"[2, 3, 6, 3, 2]","[4, 5, 5, 2, 5]",4,2,2,5410
-0.06,151.43362426757812,18,29.156597137451172,31,"[3, 3, 2, 3, 3]","[5, 5, 4, 1, 2]",1,0,0,5411
-0.495,178.59844970703125,17,50.13542556762695,38,"[8, 3, 3, 2, 5]","[3, 7, 0, 3, 4]",0,0,3,5412
0.3375,75.70266723632812,21,39.08359909057617,31,"[2, 3, 3, 4, 3]","[4, 1, 3, 8, 0]",7,3,3,5413
0.285,236.31253051757812,21,47.441680908203125,38,"[3, 7, 3, 5, 2]","[5, 3, 4, 3, 3]",2,1,4,5414
0.6116055841743946,107.08674621582031,18,58.61720657348633,37,"[5, 1, 4, 2, 4]","[6, 5, 4, 4, 2]",1,0,4,5415
0.9448655799031258,443.5516662597656,26,47.65935516357422,33,"[4, 3, 0, 0, 3]","[4, 6, 5, 3, 5]",3,1,2,5416
8.475,53.12088394165039,23,47.008094787597656,35,"[4, 5, 2, 2, 2]","[6, 4, 7, 0, 3]",5,2,0,5417
0.15,406.1024169921875,17,57.35441207885742,39,"[3, 6, 6, 2, 5]","[4, 4, 1, 5, 3]",2,1,2,5418
0.68,150.23321533203125,17,41.84967041015625,38,"[5, 3, 3, 2, 7]","[3, 2, 6, 5, 2]",8,4,4,5419
0.0,90.98963928222656,18,54.52935791015625,39,"[2, 4, 5, 2, 4]","[4, 3, 3, 7, 5]",7,3,1,5420
0.5372185918688774,156.6959228515625,19,45.99374771118164,35,"[3, 4, 4, 3, 5]","[0, 4, 4, 6, 2]",7,3,4,5421
0.45,72.81143951416016,21,43.88738250732422,37,"[4, 3, 4, 6, 2]","[2, 1, 3, 8, 4]",7,3,2,5422
0.585,79.45399475097656,32,36.78269577026367,37,"[3, 3, 2, 5, 1]","[2, 1, 5, 8, 7]",7,3,3,5423
0.36,108.09207153320312,19,43.53921127319336,33,"[5, 4, 0, 5, 5]","[0, 4, 3, 3, 4]",0,0,4,5424
3.9253352639079093,74.56082153320312,24,34.55519104003906,39,"[5, 6, 6, 2, 5]","[4, 2, 2, 4, 3]",4,2,2,5425
-1.471028702557087,56.13623046875,22,28.85772705078125,36,"[2, 2, 4, 8, 5]","[2, 3, 5, 3, 2]",6,3,2,5426
2.1,88.3792953491211,20,33.39208221435547,36,"[3, 2, 2, 7, 6]","[4, 4, 3, 4, 1]",6,3,4,5427
0.66,61.61198806762695,24,44.09529495239258,34,"[5, 1, 2, 3, 2]","[4, 2, 7, 5, 3]",5,2,3,5428
-0.405,268.2418212890625,10,41.93183135986328,29,"[2, 4, 3, 2, 5]","[3, 2, 3, 5, 0]",7,3,3,5429
-0.785,74.35877227783203,18,39.896888732910156,35,"[7, 2, 4, 3, 6]","[3, 3, 1, 3, 3]",0,0,4,5430
0.09300765618681908,130.2761688232422,21,45.83492660522461,38,"[3, 7, 3, 3, 1]","[7, 5, 3, 3, 3]",2,1,3,5431
0.255,60.79904556274414,20,39.01918411254883,35,"[3, 6, 4, 5, 2]","[3, 2, 5, 3, 2]",2,1,1,5432
0.545,192.46102905273438,25,52.93675994873047,40,"[2, 2, 6, 4, 4]","[5, 6, 4, 3, 4]",4,2,1,5433
-0.69,206.4059295654297,26,43.61029815673828,36,"[8, 2, 3, 7, 3]","[1, 0, 5, 2, 5]",0,0,2,5434
-0.015,63.0146369934082,20,37.846702575683594,32,"[2, 3, 4, 3, 3]","[4, 4, 5, 2, 2]",5,2,3,5435
1.89,40.3479118347168,17,34.030494689941406,37,"[5, 4, 5, 5, 2]","[4, 2, 3, 5, 2]",6,3,0,5436
-0.6631990596652031,50.97459411621094,19,38.93663024902344,37,"[1, 5, 6, 4, 3]","[3, 4, 5, 3, 3]",4,2,2,5437
1.6620209103822707,34.35364532470703,21,31.463363647460938,41,"[1, 4, 7, 5, 2]","[8, 4, 4, 4, 2]",1,0,2,5438
-0.055,379.7588806152344,20,39.33073043823242,36,"[6, 6, 2, 4, 2]","[4, 4, 3, 4, 1]",0,0,3,5439
-0.7049278689920903,187.2855987548828,21,34.865116119384766,33,"[2, 4, 1, 7, 2]","[6, 1, 2, 3, 5]",6,3,4,5440
-0.165,210.69618225097656,13,28.655193328857422,30,"[4, 5, 2, 4, 3]","[3, 1, 4, 3, 1]",2,1,4,5441
0.3207683773338795,121.6221923828125,16,43.06879806518555,37,"[4, 4, 4, 2, 4]","[5, 4, 2, 4, 4]",1,0,2,5442
-0.89567760810256,71.31201171875,27,47.688690185546875,35,"[2, 3, 5, 6, 4]","[3, 0, 1, 5, 6]",6,3,3,5443
0.39,118.4693603515625,15,38.02729797363281,33,"[3, 0, 4, 1, 3]","[6, 3, 5, 5, 3]",1,0,2,5444
0.105,57.117374420166016,25,40.47066116333008,35,"[3, 4, 5, 5, 2]","[4, 3, 3, 4, 2]",4,2,1,5445
-0.285,169.4302215576172,16,44.523406982421875,34,"[3, 4, 4, 7, 2]","[5, 2, 2, 2, 3]",6,3,1,5446
0.87,483.9376220703125,16,40.816688537597656,33,"[3, 2, 2, 4, 4]","[1, 2, 5, 7, 3]",7,3,0,5447
-2.1744652877748014,542.3375244140625,15,42.391937255859375,41,"[6, 3, 4, 6, 2]","[0, 4, 6, 10, 0]",7,3,3,5448
-0.533778176009655,262.2541809082031,16,48.46781921386719,36,"[2, 7, 1, 7, 3]","[7, 5, 1, 1, 2]",1,0,3,5449
0.21,52.36688232421875,21,35.55828094482422,32,"[4, 5, 3, 2, 4]","[2, 4, 4, 4, 0]",2,1,4,5450
-0.225,59.876258850097656,17,33.137123107910156,32,"[1, 3, 7, 1, 4]","[5, 4, 2, 3, 2]",4,2,3,5451
-1.02,528.0629272460938,23,38.913490295410156,36,"[4, 3, 5, 2, 0]","[6, 3, 5, 4, 4]",1,0,0,5452
-0.045,42.16953659057617,15,34.109962463378906,39,"[4, 3, 3, 6, 4]","[2, 4, 3, 3, 7]",9,4,1,5453
-0.75,95.19457244873047,17,33.670654296875,37,"[2, 5, 8, 3, 5]","[0, 2, 5, 2, 5]",4,2,2,5454
0.285,50.68363952636719,11,37.19434356689453,36,"[3, 7, 1, 4, 2]","[6, 3, 1, 4, 5]",2,1,2,5455
-2.655,42.00492477416992,20,26.255748748779297,35,"[4, 2, 6, 3, 1]","[5, 4, 7, 0, 3]",5,2,0,5456
0.07731747761368751,91.86595153808594,15,25.03240394592285,33,"[4, 3, 3, 5, 1]","[4, 2, 2, 3, 6]",9,4,0,5457
-0.6,54.33405303955078,14,26.1922550201416,33,"[9, 4, 5, 3, 3]","[2, 2, 4, 1, 0]",0,0,3,5458
-1.128648010790348,224.4939422607422,15,35.9072380065918,35,"[4, 5, 2, 6, 6]","[4, 4, 1, 1, 2]",8,4,0,5459
-0.075,928.096435546875,16,38.834068298339844,35,"[2, 3, 4, 3, 3]","[6, 2, 4, 5, 3]",1,0,3,5460
-0.405,209.54910278320312,14,43.79071807861328,35,"[4, 6, 6, 3, 3]","[4, 2, 2, 4, 1]",4,2,3,5461
-0.3825,104.63932037353516,21,55.2303352355957,42,"[1, 6, 2, 3, 7]","[6, 3, 7, 4, 3]",8,4,3,5462
0.11,258.2804870605469,16,45.36048889160156,36,"[3, 4, 1, 4, 4]","[2, 5, 6, 4, 3]",5,2,4,5463
0.255,200.6628875732422,19,45.231990814208984,38,"[7, 7, 0, 3, 1]","[2, 4, 4, 6, 4]",2,1,3,5464
0.525,117.98722076416016,18,32.097267150878906,33,"[2, 4, 2, 3, 5]","[5, 5, 3, 2, 2]",1,0,4,5465
1.08,144.51101684570312,21,45.424781799316406,37,"[2, 3, 5, 6, 0]","[5, 5, 3, 6, 2]",6,3,1,5466
1.5665050439536572,178.59130859375,20,36.09492492675781,34,"[4, 2, 1, 3, 9]","[0, 3, 4, 3, 5]",8,4,4,5467
0.135,68.0550537109375,21,41.69251251220703,40,"[4, 1, 3, 4, 6]","[6, 5, 3, 5, 3]",8,4,4,5468
0.26983041301369665,255.04307556152344,23,48.80854415893555,38,"[4, 3, 4, 4, 5]","[5, 1, 4, 5, 3]",7,3,1,5469
-0.435,224.28590393066406,20,55.599464416503906,38,"[5, 3, 5, 2, 1]","[7, 8, 2, 3, 2]",3,1,3,5470
0.39,97.48081970214844,25,54.38893508911133,36,"[5, 5, 1, 3, 2]","[1, 5, 4, 5, 5]",0,0,2,5471
0.975,180.9387969970703,26,67.17787170410156,41,"[3, 4, 4, 5, 2]","[7, 4, 7, 2, 3]",1,0,1,5472
-0.40833509355783465,734.0029907226562,19,64.97906494140625,40,"[4, 4, 6, 2, 2]","[2, 5, 3, 10, 2]",7,3,4,5473
0.12642768055200576,448.4747009277344,18,52.6828498840332,37,"[3, 1, 7, 3, 3]","[4, 4, 2, 7, 3]",7,3,2,5474
0.06,186.017822265625,15,53.00499725341797,33,"[6, 5, 1, 5, 2]","[2, 3, 5, 1, 3]",0,0,4,5475
-0.24,179.5487823486328,16,54.045570373535156,37,"[3, 3, 4, 4, 7]","[4, 3, 5, 4, 0]",8,4,3,5476
-2.55,157.16549682617188,20,54.549461364746094,36,"[2, 5, 5, 6, 1]","[5, 5, 1, 2, 4]",6,3,0,5477
0.285,76.27986907958984,19,48.2170295715332,40,"[6, 3, 0, 4, 3]","[3, 7, 5, 5, 4]",3,1,3,5478
-0.1725,69.27754974365234,18,46.40690612792969,30,"[4, 3, 4, 3, 3]","[2, 4, 2, 4, 1]",7,3,3,5479
-0.61,142.8615264892578,28,52.081092834472656,39,"[3, 6, 7, 5, 1]","[4, 2, 4, 6, 1]",4,2,4,5480
0.27,84.49456787109375,12,42.052345275878906,38,"[6, 6, 2, 2, 5]","[2, 6, 3, 3, 3]",3,1,2,5481
-0.26026043966412543,173.122314453125,14,35.464359283447266,35,"[2, 5, 6, 3, 3]","[5, 4, 2, 2, 3]",4,2,2,5482
-0.229463844448328,116.26042175292969,28,42.67593002319336,40,"[5, 5, 1, 3, 3]","[4, 7, 3, 4, 5]",3,1,4,5483
0.24,94.94664001464844,15,35.4271125793457,33,"[5, 2, 1, 2, 2]","[2, 8, 4, 1, 6]",3,1,2,5484
-3.78,56.40583038330078,17,26.078609466552734,35,"[6, 1, 0, 2, 7]","[3, 1, 5, 4, 6]",8,4,0,5485
-1.645,634.035400390625,14,35.02792739868164,31,"[2, 5, 5, 3, 6]","[3, 1, 4, 0, 2]",8,4,2,5486
0.255,243.79063415527344,15,42.41029357910156,38,"[4, 4, 6, 1, 1]","[6, 4, 4, 6, 2]",4,2,4,5487
-1.2137487326562404,74.1366195678711,22,47.37148666381836,37,"[2, 4, 6, 3, 4]","[3, 7, 1, 2, 5]",3,1,4,5488
0.3,71.30645751953125,14,48.93696975708008,36,"[5, 6, 4, 4, 1]","[4, 3, 2, 3, 4]",2,1,2,5489
-0.255,176.4271240234375,20,46.67765426635742,32,"[0, 3, 2, 7, 5]","[4, 0, 4, 5, 2]",6,3,3,5490
-0.675,190.0224151611328,15,40.12492752075195,37,"[4, 2, 6, 3, 4]","[5, 3, 1, 7, 2]",7,3,0,5491
-0.465,67.79774475097656,15,34.86804962158203,31,"[5, 2, 4, 4, 5]","[3, 2, 1, 2, 3]",8,4,4,5492
-0.03224020287394524,48.401187896728516,20,33.56403732299805,35,"[5, 1, 2, 3, 1]","[7, 3, 1, 4, 8]",9,4,4,5493
0.495,72.80038452148438,19,41.00617980957031,37,"[3, 2, 4, 3, 4]","[4, 5, 7, 4, 1]",5,2,1,5494
0.04064524486660957,90.9323959350586,15,41.19775390625,40,"[5, 1, 5, 3, 3]","[6, 4, 1, 6, 6]",7,3,2,5495
-0.8612148013710975,177.4258270263672,20,30.581329345703125,37,"[4, 3, 3, 3, 3]","[3, 5, 4, 7, 2]",7,3,1,5496
0.9,36.02214431762695,19,34.07231903076172,38,"[8, 3, 3, 2, 4]","[1, 4, 5, 3, 5]",0,0,2,5497
-0.085,73.16578674316406,18,25.120731353759766,36,"[4, 3, 5, 3, 4]","[4, 1, 6, 3, 3]",5,2,4,5498
0.3,21.558792114257812,24,18.252269744873047,36,"[4, 3, 4, 4, 1]","[4, 5, 3, 5, 3]",3,1,2,5499
-0.555,99.65353393554688,13,22.337976455688477,32,"[3, 4, 2, 8, 3]","[3, 1, 2, 4, 2]",6,3,4,5500
-5.379769451618195,159.673583984375,14,34.895538330078125,36,"[3, 1, 3, 2, 3]","[5, 2, 6, 3, 8]",9,4,3,5501
0.21,299.7062683105469,18,34.40950012207031,38,"[3, 4, 2, 4, 3]","[5, 2, 4, 5, 6]",9,4,0,5502
0.45,193.90817260742188,25,46.093910217285156,39,"[4, 7, 1, 2, 6]","[2, 4, 6, 2, 5]",2,1,0,5503
-0.5492618948221206,256.447265625,22,37.54910659790039,40,"[6, 4, 7, 3, 7]","[1, 2, 4, 5, 1]",4,2,3,5504
0.4423114639520645,250.72998046875,24,39.954933166503906,34,"[4, 2, 3, 2, 2]","[1, 3, 7, 5, 5]",5,2,4,5505
0.375,46.669795989990234,19,35.665306091308594,37,"[2, 6, 3, 2, 3]","[5, 3, 4, 3, 6]",2,1,2,5506
-0.405,106.81814575195312,26,30.647891998291016,38,"[4, 6, 2, 7, 2]","[5, 6, 1, 4, 1]",6,3,4,5507
-5.43,60.06932830810547,20,32.74599838256836,39,"[3, 7, 4, 5, 8]","[2, 3, 2, 3, 2]",8,4,1,5508
-0.765,159.62762451171875,22,41.03544235229492,32,"[3, 2, 5, 2, 2]","[3, 4, 3, 5, 3]",7,3,4,5509
-7.515,297.43267822265625,12,30.239131927490234,32,"[1, 3, 4, 1, 5]","[4, 1, 6, 3, 4]",5,2,0,5510
-0.45,120.11934661865234,17,43.64760208129883,36,"[8, 4, 2, 2, 3]","[4, 3, 0, 5, 5]",0,0,2,5511
-0.3,63.03267288208008,8,37.222145080566406,34,"[5, 2, 5, 0, 4]","[9, 1, 1, 3, 4]",1,0,2,5512
-0.03,271.00360107421875,14,43.34290313720703,34,"[0, 4, 1, 3, 5]","[7, 6, 2, 3, 3]",1,0,2,5513
0.15,75.7426986694336,17,33.109718322753906,33,"[3, 3, 2, 4, 5]","[1, 3, 6, 3, 3]",5,2,2,5514
-0.825,260.25836181640625,22,33.216739654541016,41,"[5, 8, 2, 5, 4]","[7, 3, 4, 1, 2]",2,1,2,5515
-0.48,1138.9622802734375,26,35.98366928100586,39,"[5, 3, 6, 2, 3]","[4, 4, 5, 2, 5]",4,2,1,5516
-0.255,96.22262573242188,15,33.21050262451172,31,"[4, 4, 5, 3, 2]","[3, 2, 1, 2, 5]",4,2,1,5517
-0.15349714398384096,80.34418487548828,21,35.2887077331543,36,"[4, 0, 5, 5, 4]","[4, 1, 6, 2, 5]",5,2,4,5518
-0.48,189.10888671875,22,41.03931427001953,35,"[5, 4, 4, 4, 2]","[2, 4, 3, 5, 2]",0,0,4,5519
5.565,572.9387817382812,21,42.20547103881836,36,"[4, 2, 5, 7, 2]","[4, 4, 1, 3, 4]",6,3,0,5520
-1.8013766798377038,105.26397705078125,19,55.75380325317383,35,"[3, 4, 1, 2, 4]","[1, 7, 2, 7, 4]",7,3,3,5521
-0.9313925990462303,64.06436920166016,14,39.88655471801758,34,"[6, 5, 3, 2, 1]","[4, 5, 1, 2, 5]",0,0,4,5522
-0.27,114.21498107910156,14,42.48972702026367,34,"[4, 4, 3, 7, 3]","[3, 3, 4, 0, 3]",6,3,3,5523
0.255,37.463226318359375,18,31.252370834350586,38,"[5, 1, 3, 3, 1]","[3, 8, 5, 4, 5]",3,1,1,5524
0.51,48.977500915527344,13,29.88921546936035,35,"[5, 4, 3, 4, 2]","[3, 0, 7, 3, 4]",5,2,3,5525
-1.946772045791149,133.1918487548828,19,22.788978576660156,31,"[3, 1, 5, 4, 4]","[1, 2, 4, 5, 2]",4,2,2,5526
0.555,216.28790283203125,17,30.821590423583984,35,"[4, 5, 4, 4, 3]","[7, 1, 1, 2, 4]",1,0,3,5527
-0.345,43.03721237182617,15,21.064563751220703,34,"[4, 3, 3, 2, 6]","[2, 3, 3, 5, 3]",8,4,2,5528
-0.5078313618898391,133.40374755859375,14,30.686365127563477,36,"[3, 5, 8, 2, 3]","[5, 2, 2, 3, 3]",4,2,2,5529
-0.745,122.70326232910156,22,32.00166320800781,35,"[1, 6, 2, 6, 7]","[2, 3, 2, 3, 3]",8,4,3,5530
-2.055,138.41986083984375,15,25.056243896484375,30,"[6, 2, 1, 3, 1]","[3, 5, 3, 1, 5]",0,0,0,5531
0.705,43.45976257324219,25,34.21400451660156,38,"[1, 7, 6, 3, 2]","[2, 4, 4, 4, 5]",2,1,2,5532
-5.985,81.92822265625,23,36.556983947753906,36,"[4, 1, 1, 1, 2]","[8, 10, 4, 2, 3]",3,1,0,5533
0.08,77.49798583984375,21,34.4470329284668,34,"[2, 2, 3, 1, 4]","[2, 7, 5, 5, 3]",3,1,3,5534
-0.495,198.2870330810547,18,41.51320266723633,38,"[3, 7, 6, 4, 4]","[3, 3, 3, 3, 2]",2,1,4,5535
0.3,91.82077026367188,22,30.667499542236328,38,"[4, 2, 4, 5, 4]","[1, 4, 8, 4, 2]",5,2,0,5536
-0.255,90.4655532836914,21,37.47999954223633,33,"[3, 3, 4, 4, 2]","[8, 2, 1, 4, 2]",1,0,0,5537
-0.285,111.91422271728516,20,33.35033416748047,34,"[2, 3, 4, 2, 6]","[1, 5, 7, 2, 2]",5,2,3,5538
-0.295,42.49357223510742,21,28.325565338134766,35,"[3, 3, 3, 6, 3]","[5, 4, 2, 5, 1]",6,3,4,5539
