simulation_id,agent_id,agent_type,final_balance,num_transactions
2,8,Agent_Opinionated_Random,100000000,2
2,9,Agent_Opinionated_Random,99999980.5,8
2,10,Agent_Opinionated_Leader_Wins,100000001.5,1
2,11,Agent_Opinionated_Leader_Wins,100000023,6
2,12,Agent_Opinionated_Leader_Wins,100000003,2
2,13,Agent_Opinionated_Leader_Wins,100000010,4
2,14,Agent_Opinionated_Leader_Wins,100000000,0
2,15,Agent_Opinionated_Leader_Wins,100000001.5,1
2,16,Agent_Opinionated_Leader_Wins,100000001.5,1
2,17,Agent_Opinionated_Leader_Wins,100000006,3
2,18,Agent_Opinionated_Leader_Wins,100000000,0
2,19,Agent_Opinionated_Leader_Wins,100000003,2
2,20,Agent_Opinionated_Underdog,99999980.5,2
2,21,Agent_Opinionated_Underdog,99999980.5,2
2,22,Agent_Opinionated_Underdog,100000000,0
2,23,Agent_Opinionated_Underdog,100000000,0
2,24,Agent_Opinionated_Underdog,99999983.5,2
2,25,Agent_Opinionated_Underdog,100000000,0
2,26,Agent_Opinionated_Underdog,99999983.5,2
2,27,Agent_Opinionated_Underdog,99999982,2
2,28,Agent_Opinionated_Underdog,100000000,0
2,29,Agent_Opinionated_Underdog,99999980.5,2
2,30,Agent_Opinionated_Back_Favourite,100000000,0
2,31,Agent_Opinionated_Back_Favourite,99999992,2
2,32,Agent_Opinionated_Back_Favourite,99999985,1
2,33,Agent_Opinionated_Back_Favourite,99999992,2
2,34,Agent_Opinionated_Back_Favourite,99999985,1
2,35,Agent_Opinionated_Back_Favourite,99999992,2
2,36,Agent_Opinionated_Back_Favourite,99999985,1
2,37,Agent_Opinionated_Back_Favourite,100000000,0
2,38,Agent_Opinionated_Back_Favourite,99999985,1
2,39,Agent_Opinionated_Back_Favourite,99999985,1
2,40,Agent_Opinionated_Linex,100000000,0
2,41,Agent_Opinionated_Linex,100000000,0
2,42,Agent_Opinionated_Linex,100000000,0
2,43,Agent_Opinionated_Linex,100000000,0
2,44,Agent_Opinionated_Linex,100000000,0
2,45,Agent_Opinionated_Linex,100000000,0
2,46,Agent_Opinionated_Linex,100000000,0
2,47,Agent_Opinionated_Linex,100000000,0
2,48,Agent_Opinionated_Linex,100000000,0
2,49,Agent_Opinionated_Linex,100000000,0
2,50,Agent_Opinionated_Priviledged,100000012,3
2,51,Agent_Opinionated_Priviledged,100000000,2
2,52,Agent_Opinionated_Priviledged,100000027,10
2,53,Agent_Opinionated_Priviledged,99999991.5,6
2,54,Agent_Opinionated_Priviledged,100000012,5
2,55,XGBoostBettingAgent,99999910,6
2,56,RLBettingAgent,100000120,8
3,0,Agent_Opinionated_Random,100000105,7
3,1,Agent_Opinionated_Random,99999838.91,5
3,2,Agent_Opinionated_Random,100000105,9
3,3,Agent_Opinionated_Random,99999970,2
3,4,Agent_Opinionated_Random,99999959.71,2
3,5,Agent_Opinionated_Random,100000120,8
3,6,Agent_Opinionated_Random,100000045,3
3,7,Agent_Opinionated_Random,100000120,10
3,8,Agent_Opinionated_Random,100000030,6
3,9,Agent_Opinionated_Random,100000075,5
3,10,Agent_Opinionated_Leader_Wins,99999895,7
3,11,Agent_Opinionated_Leader_Wins,99999895,7
3,12,Agent_Opinionated_Leader_Wins,99999880,8
3,13,Agent_Opinionated_Leader_Wins,99999820,12
3,14,Agent_Opinionated_Leader_Wins,99999865,9
3,15,Agent_Opinionated_Leader_Wins,99999835,11
3,16,Agent_Opinionated_Leader_Wins,99999835,11
3,17,Agent_Opinionated_Leader_Wins,99999820,12
3,18,Agent_Opinionated_Leader_Wins,99999835,11
3,19,Agent_Opinionated_Leader_Wins,99999805,13
3,20,Agent_Opinionated_Underdog,100000000,2
3,21,Agent_Opinionated_Underdog,100000015,1
3,22,Agent_Opinionated_Underdog,100000015,1
3,23,Agent_Opinionated_Underdog,100000015,3
3,24,Agent_Opinionated_Underdog,100000015,1
3,25,Agent_Opinionated_Underdog,100000015,1
3,26,Agent_Opinionated_Underdog,100000015,1
3,27,Agent_Opinionated_Underdog,100000015,1
3,28,Agent_Opinionated_Underdog,100000000,2
3,29,Agent_Opinionated_Underdog,100000030,2
3,30,Agent_Opinionated_Back_Favourite,99999925,5
3,31,Agent_Opinionated_Back_Favourite,99999925,5
3,32,Agent_Opinionated_Back_Favourite,99999925,5
3,33,Agent_Opinionated_Back_Favourite,99999940,4
3,34,Agent_Opinionated_Back_Favourite,99999925,5
3,35,Agent_Opinionated_Back_Favourite,99999940,4
3,36,Agent_Opinionated_Back_Favourite,99999925,5
3,37,Agent_Opinionated_Back_Favourite,99999925,5
3,38,Agent_Opinionated_Back_Favourite,99999925,5
3,39,Agent_Opinionated_Back_Favourite,99999925,5
3,40,Agent_Opinionated_Linex,99999985,1
3,41,Agent_Opinionated_Linex,99999985,1
3,42,Agent_Opinionated_Linex,99999985,1
3,43,Agent_Opinionated_Linex,100000000,0
3,44,Agent_Opinionated_Linex,99999985,1
3,45,Agent_Opinionated_Linex,99999985,1
3,46,Agent_Opinionated_Linex,99999985,1
3,47,Agent_Opinionated_Linex,100000000,2
3,48,Agent_Opinionated_Linex,100000000,2
3,49,Agent_Opinionated_Linex,100000000,2
3,50,Agent_Opinionated_Priviledged,100000540,36
3,51,Agent_Opinionated_Priviledged,100000105,19
3,52,Agent_Opinionated_Priviledged,100000468.6,31
3,53,Agent_Opinionated_Priviledged,100000308.1,35
3,54,Agent_Opinionated_Priviledged,100000401.6,26
3,55,XGBoostBettingAgent,99999998.07,6
3,56,RLBettingAgent,100000000,0
4,0,Agent_Opinionated_Random,99999955,5
4,1,Agent_Opinionated_Random,100000015,3
4,2,Agent_Opinionated_Random,100000060,4
4,3,Agent_Opinionated_Random,99999924.56,9
4,4,Agent_Opinionated_Random,100000025.7,5
4,5,Agent_Opinionated_Random,99999912.69,9
4,6,Agent_Opinionated_Random,99999925,9
4,7,Agent_Opinionated_Random,100000075,7
4,8,Agent_Opinionated_Random,100000060,6
4,9,Agent_Opinionated_Random,99999985,1
4,10,Agent_Opinionated_Leader_Wins,100000070.1,5
4,11,Agent_Opinionated_Leader_Wins,100000108.1,6
4,12,Agent_Opinionated_Leader_Wins,100000010.2,5
4,13,Agent_Opinionated_Leader_Wins,100000026.1,6
4,14,Agent_Opinionated_Leader_Wins,100000053.2,4
4,15,Agent_Opinionated_Leader_Wins,100000129.2,7
4,16,Agent_Opinionated_Leader_Wins,100000039.7,7
4,17,Agent_Opinionated_Leader_Wins,100000096.7,6
4,18,Agent_Opinionated_Leader_Wins,100000042.7,4
4,19,Agent_Opinionated_Leader_Wins,100000081.7,8
4,20,Agent_Opinionated_Underdog,99999959.84,3
4,21,Agent_Opinionated_Underdog,99999914.88,6
4,22,Agent_Opinionated_Underdog,99999916.81,4
4,23,Agent_Opinionated_Underdog,99999915.31,6
4,24,Agent_Opinionated_Underdog,99999915.31,6
4,25,Agent_Opinionated_Underdog,99999963.91,7
4,26,Agent_Opinionated_Underdog,99999916.38,6
4,27,Agent_Opinionated_Underdog,99999959.84,3
4,28,Agent_Opinionated_Underdog,99999965.41,7
4,29,Agent_Opinionated_Underdog,99999966.91,7
4,30,Agent_Opinionated_Back_Favourite,100000000,0
4,31,Agent_Opinionated_Back_Favourite,100000000,0
4,32,Agent_Opinionated_Back_Favourite,100000000,0
4,33,Agent_Opinionated_Back_Favourite,100000000,0
4,34,Agent_Opinionated_Back_Favourite,100000000,0
4,35,Agent_Opinionated_Back_Favourite,100000000,0
4,36,Agent_Opinionated_Back_Favourite,100000000,0
4,37,Agent_Opinionated_Back_Favourite,100000000,0
4,38,Agent_Opinionated_Back_Favourite,99999985,1
4,39,Agent_Opinionated_Back_Favourite,100000000,0
4,40,Agent_Opinionated_Linex,100000000,0
4,41,Agent_Opinionated_Linex,100000015,1
4,42,Agent_Opinionated_Linex,100000015,1
4,43,Agent_Opinionated_Linex,100000050.5,2
4,44,Agent_Opinionated_Linex,100000015,1
4,45,Agent_Opinionated_Linex,100000029.6,1
4,46,Agent_Opinionated_Linex,100000000,0
4,47,Agent_Opinionated_Linex,100000020.5,1
4,48,Agent_Opinionated_Linex,100000029.6,1
4,49,Agent_Opinionated_Linex,100000000,0
4,50,Agent_Opinionated_Priviledged,100000013.5,2
4,51,Agent_Opinionated_Priviledged,100000000,0
4,52,Agent_Opinionated_Priviledged,100000000,4
4,53,Agent_Opinionated_Priviledged,100000000,2
4,54,Agent_Opinionated_Priviledged,99999740.68,17
4,55,XGBoostBettingAgent,99999990.53,4
4,56,RLBettingAgent,100000105,7
5,0,Agent_Opinionated_Random,99999979,4
