comparison_agent,shapiro_p,normal,mannwhitney_p,significant,rl_median,agent_median,direction
Agent_Opinionated_Random,2.3999871231392565e-26,False,1.2136721993128634e-05,True,100000045.0,100000000.0,Up
Agent_Opinionated_Leader_Wins,2.377575978315608e-21,False,1.5094211869333353e-07,True,100000045.0,100000006.0,Up
Agent_Opinionated_Underdog,7.496419485164552e-09,False,4.423876744265428e-12,True,100000045.0,99999995.5,Up
Agent_Opinionated_Back_Favourite,9.984239424752119e-28,False,3.492827155399265e-15,True,100000045.0,99999988.0,Up
Agent_Opinionated_Linex,2.4979357368367164e-14,False,2.938748732320892e-06,True,100000045.0,100000001.5,Up
Agent_Opinionated_Priviledged,2.9717085810485955e-15,False,0.5579965294151168,False,100000045.0,100000010.125,Up
XGBoostBettingAgent,3.6275305675959046e-11,False,4.1947415589906616e-13,True,100000045.0,99999940.0,Up
