state,action,reward,next_state,done
"[6.0, 59.81544876098633, 63.12374496459961, 63.12374496459961, 63.12374496459961, 64.79207611083984, 20.0, 20.0, 4.620391845703125, 4.842893600463867, 1.4666666984558105]",5,0.0,"[8.0, 80.67542266845703, 83.3934555053711, 84.13473510742188, 85.47248840332031, 89.86288452148438, 20.0, 20.0, 4.620391845703125, 4.642893314361572, 1.2666666507720947]",False
"[8.0, 80.67542266845703, 83.3934555053711, 84.13473510742188, 85.47248840332031, 89.86288452148438, 20.0, 20.0, 4.620391845703125, 4.642893314361572, 1.2666666507720947]",5,0.0,"[10.0, 96.11798095703125, 103.45899963378906, 107.10152435302734, 109.1883544921875, 114.48159790039062, 20.0, 20.0, 4.620391845703125, 4.4428935050964355, 1.100000023841858]",False
"[10.0, 96.11798095703125, 103.45899963378906, 107.10152435302734, 109.1883544921875, 114.48159790039062, 20.0, 20.0, 4.620391845703125, 4.4428935050964355, 1.100000023841858]",5,0.0,"[14.0, 145.06405639648438, 152.48562622070312, 152.48562622070312, 152.48562622070312, 161.48495483398438, 20.0, 20.0, 4.620391845703125, 3.542893409729004, 1.100000023841858]",False
"[14.0, 145.06405639648438, 152.48562622070312, 152.48562622070312, 152.48562622070312, 161.48495483398438, 20.0, 20.0, 4.620391845703125, 3.542893409729004, 1.100000023841858]",5,0.0,"[16.0, 172.13595581054688, 175.0435791015625, 178.72544860839844, 175.0435791015625, 184.6342010498047, 20.0, 20.0, 6.346711158752441, 3.542893409729004, 1.100000023841858]",False
"[16.0, 172.13595581054688, 175.0435791015625, 178.72544860839844, 175.0435791015625, 184.6342010498047, 20.0, 20.0, 6.346711158752441, 3.542893409729004, 1.100000023841858]",5,0.0,"[18.0, 190.12522888183594, 193.6205596923828, 201.1815185546875, 193.6205596923828, 206.9578399658203, 20.0, 20.0, 6.346711158752441, 3.542893409729004, 1.100000023841858]",False
"[18.0, 190.12522888183594, 193.6205596923828, 201.1815185546875, 193.6205596923828, 206.9578399658203, 20.0, 20.0, 6.346711158752441, 3.542893409729004, 1.100000023841858]",5,0.0,"[20.0, 212.48194885253906, 212.48194885253906, 225.3800048828125, 212.48194885253906, 229.86512756347656, 20.0, 20.0, 6.346711158752441, 3.542893409729004, 1.100000023841858]",False
"[20.0, 212.48194885253906, 212.48194885253906, 225.3800048828125, 212.48194885253906, 229.86512756347656, 20.0, 20.0, 6.346711158752441, 3.542893409729004, 1.100000023841858]",5,0.0,"[24.0, 255.12893676757812, 252.76010131835938, 273.9408264160156, 252.76010131835938, 273.9408264160156, 20.0, 20.0, 6.346711158752441, 3.4428935050964355, 1.100000023841858]",False
"[24.0, 255.12893676757812, 252.76010131835938, 273.9408264160156, 252.76010131835938, 273.9408264160156, 20.0, 20.0, 6.346711158752441, 3.4428935050964355, 1.100000023841858]",5,0.0,"[26.0, 277.6712341308594, 274.1954345703125, 295.80267333984375, 274.1954345703125, 298.6040954589844, 20.0, 20.0, 6.146711349487305, 3.4428935050964355, 1.100000023841858]",False
"[26.0, 277.6712341308594, 274.1954345703125, 295.80267333984375, 274.1954345703125, 298.6040954589844, 20.0, 20.0, 6.146711349487305, 3.4428935050964355, 1.100000023841858]",5,0.0,"[28.0, 305.0307922363281, 304.9030456542969, 322.6643981933594, 295.0671081542969, 322.6643981933594, 20.0, 20.0, 6.146711349487305, 3.342893362045288, 1.100000023841858]",False
"[28.0, 305.0307922363281, 304.9030456542969, 322.6643981933594, 295.0671081542969, 322.6643981933594, 20.0, 20.0, 6.146711349487305, 3.342893362045288, 1.100000023841858]",5,0.0,"[30.0, 321.6483459472656, 338.1324768066406, 348.8250427246094, 317.1206970214844, 348.8250427246094, 20.0, 20.0, 6.046711444854736, 3.342893362045288, 1.100000023841858]",False
"[30.0, 321.6483459472656, 338.1324768066406, 348.8250427246094, 317.1206970214844, 348.8250427246094, 20.0, 20.0, 6.046711444854736, 3.342893362045288, 1.100000023841858]",5,0.0,"[32.0, 347.81219482421875, 362.0050964355469, 371.5085144042969, 337.6884460449219, 371.66607666015625, 20.0, 20.0, 5.846711158752441, 3.342893362045288, 1.100000023841858]",False
"[32.0, 347.81219482421875, 362.0050964355469, 371.5085144042969, 337.6884460449219, 371.66607666015625, 20.0, 20.0, 5.846711158752441, 3.342893362045288, 1.100000023841858]",5,0.0,"[36.0, 384.87286376953125, 418.92584228515625, 420.9024963378906, 382.4251708984375, 420.9024963378906, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",False
"[36.0, 384.87286376953125, 418.92584228515625, 420.9024963378906, 382.4251708984375, 420.9024963378906, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",5,0.0,"[38.0, 413.89776611328125, 440.08734130859375, 440.08734130859375, 403.8460998535156, 441.19830322265625, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",False
"[38.0, 413.89776611328125, 440.08734130859375, 440.08734130859375, 403.8460998535156, 441.19830322265625, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",5,0.0,"[40.0, 437.39447021484375, 462.80841064453125, 471.7864074707031, 427.4452819824219, 471.7864074707031, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",False
"[40.0, 437.39447021484375, 462.80841064453125, 471.7864074707031, 427.4452819824219, 471.7864074707031, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",5,0.0,"[42.0, 462.12042236328125, 493.83721923828125, 499.811279296875, 449.4349670410156, 499.811279296875, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",False
"[42.0, 462.12042236328125, 493.83721923828125, 499.811279296875, 449.4349670410156, 499.811279296875, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",5,-0.255,"[47.0, 500.0, 500.0, 500.0, 500.0, 500.0, 20.0, 19.899999618530273, 5.746711254119873, 3.342893362045288, 1.100000023841858]",True
