time,odds,competitor
0.06382870674133301,20.0,0
0.06382870674133301,1.5666666666666667,1
0.06382870674133301,20.0,2
0.06382870674133301,20.0,3
0.06382870674133301,20.0,4
0.09451818466186523,2.4,0
0.09451818466186523,1.1,1
0.09451818466186523,20.0,2
0.09451818466186523,4.9,3
0.09451818466186523,2.4,4
0.12635397911071777,2.4,0
0.12635397911071777,1.1,1
0.12635397911071777,2.4,2
0.12635397911071777,4.9,3
0.12635397911071777,2.4,4
0.15861153602600098,1.5666666666666667,0
0.15861153602600098,1.1,1
0.15861153602600098,2.4,2
0.15861153602600098,2.9178735266540694,3
0.15861153602600098,2.4,4
0.18930459022521973,1.5666666666666667,0
0.18930459022521973,1.1,1
0.18930459022521973,2.4,2
0.18930459022521973,2.9178735266540694,3
0.18930459022521973,2.4,4
0.20754671096801758,1.5666666666666667,0
0.20754671096801758,1.1,1
0.20754671096801758,2.4,2
0.20754671096801758,2.9178735266540694,3
0.20754671096801758,2.4,4
0.23939990997314453,1.5666666666666667,0
0.23939990997314453,1.1,1
0.23939990997314453,2.4,2
0.23939990997314453,4.9,3
0.23939990997314453,2.4,4
0.269362211227417,1.5666666666666667,0
0.269362211227417,1.1,1
0.269362211227417,2.4,2
0.269362211227417,2.9178735266540694,3
0.269362211227417,2.4,4
0.2973208427429199,1.5666666666666667,0
0.2973208427429199,1.1,1
0.2973208427429199,2.4,2
0.2973208427429199,2.9178735266540694,3
0.2973208427429199,2.4,4
0.32886290550231934,1.5666666666666667,0
0.32886290550231934,1.1,1
0.32886290550231934,2.4,2
0.32886290550231934,2.9178735266540694,3
0.32886290550231934,2.4,4
0.36041760444641113,1.5666666666666667,0
0.36041760444641113,1.1,1
0.36041760444641113,2.4,2
0.36041760444641113,2.9178735266540694,3
0.36041760444641113,2.4,4
0.3939945697784424,2.4,0
0.3939945697784424,1.1,1
0.3939945697784424,2.4,2
0.3939945697784424,2.9178735266540694,3
0.3939945697784424,2.4,4
0.4237699508666992,2.4,0
0.4237699508666992,1.1,1
0.4237699508666992,2.4,2
0.4237699508666992,2.9178735266540694,3
0.4237699508666992,2.4,4
0.45580458641052246,2.4,0
0.45580458641052246,1.4666666666666666,1
0.45580458641052246,2.4,2
0.45580458641052246,2.9178735266540694,3
0.45580458641052246,2.4,4
0.4862391948699951,2.4,0
0.4862391948699951,1.4666666666666666,1
0.4862391948699951,2.4,2
0.4862391948699951,2.9178735266540694,3
0.4862391948699951,2.4,4
0.5171842575073242,2.4,0
0.5171842575073242,1.4666666666666666,1
0.5171842575073242,2.4,2
0.5171842575073242,2.9178735266540694,3
0.5171842575073242,2.4,4
0.549811840057373,2.4,0
0.549811840057373,1.4666666666666666,1
0.549811840057373,2.4,2
0.549811840057373,2.9178735266540694,3
0.549811840057373,2.4,4
0.5795361995697021,2.4,0
0.5795361995697021,1.4666666666666666,1
0.5795361995697021,2.4,2
0.5795361995697021,2.9178735266540694,3
0.5795361995697021,2.4,4
0.61155104637146,2.4,0
0.61155104637146,1.4666666666666666,1
0.61155104637146,2.4,2
0.61155104637146,2.9178735266540694,3
0.61155104637146,2.4,4
0.6438088417053223,2.4,0
0.6438088417053223,1.4666666666666666,1
0.6438088417053223,2.4,2
0.6438088417053223,4.9,3
0.6438088417053223,2.4,4
0.6736459732055664,2.4,0
0.6736459732055664,1.4666666666666666,1
0.6736459732055664,2.4,2
0.6736459732055664,4.9,3
0.6736459732055664,2.4,4
0.7051882743835449,2.4,0
0.7051882743835449,1.4666666666666666,1
0.7051882743835449,2.4,2
0.7051882743835449,2.9178735266540694,3
0.7051882743835449,2.4,4
0.7366862297058105,2.4,0
0.7366862297058105,1.4666666666666666,1
0.7366862297058105,2.4,2
0.7366862297058105,2.9178735266540694,3
0.7366862297058105,2.4,4
0.766516923904419,2.4,0
0.766516923904419,1.4666666666666666,1
0.766516923904419,2.4,2
0.766516923904419,2.9178735266540694,3
0.766516923904419,2.4,4
0.7975358963012695,2.4,0
0.7975358963012695,1.4666666666666666,1
0.7975358963012695,2.4,2
0.7975358963012695,2.9178735266540694,3
0.7975358963012695,2.4,4
0.827972412109375,2.4,0
0.827972412109375,1.4666666666666666,1
0.827972412109375,2.4,2
0.827972412109375,2.9178735266540694,3
0.827972412109375,2.4,4
0.8579251766204834,2.4,0
0.8579251766204834,1.4666666666666666,1
0.8579251766204834,2.4,2
0.8579251766204834,2.9178735266540694,3
0.8579251766204834,2.4,4
0.891366720199585,2.4,0
0.891366720199585,1.4666666666666666,1
0.891366720199585,2.4,2
0.891366720199585,2.9178735266540694,3
0.891366720199585,2.4,4
0.921311616897583,2.4,0
0.921311616897583,1.4666666666666666,1
0.921311616897583,2.4,2
0.921311616897583,2.9178735266540694,3
0.921311616897583,2.4,4
0.9526216983795166,2.4,0
0.9526216983795166,1.4666666666666666,1
0.9526216983795166,2.4,2
0.9526216983795166,2.9178735266540694,3
0.9526216983795166,2.4,4
0.9855482578277588,2.4,0
0.9855482578277588,1.4666666666666666,1
0.9855482578277588,2.4,2
0.9855482578277588,2.9178735266540694,3
0.9855482578277588,2.4,4
1.016749382019043,2.4,0
1.016749382019043,1.4666666666666666,1
1.016749382019043,2.4,2
1.016749382019043,2.9178735266540694,3
1.016749382019043,2.4,4
1.0470383167266846,2.4,0
1.0470383167266846,1.4666666666666666,1
1.0470383167266846,2.4,2
1.0470383167266846,2.9178735266540694,3
1.0470383167266846,2.4,4
1.075988531112671,2.4,0
1.075988531112671,1.4666666666666666,1
1.075988531112671,2.4,2
1.075988531112671,2.9178735266540694,3
1.075988531112671,2.4,4
1.1100444793701172,2.4,0
1.1100444793701172,1.4666666666666666,1
1.1100444793701172,2.4,2
