agent_type,mean_balance,std_balance,total_transactions,mean_reward,amount_wagered,roi,sharpe_ratio
Agent_Opinionated_Back_Favourite,99999987.67848743,16.461480052460264,1361,-12.321512565016747,20415,-0.060355192579068066,-0.7485057556033806
Agent_Opinionated_Leader_Wins,100000001.46029423,50.77257230514335,2635,1.4602942317724228,39525,0.0036946090620428155,0.02876147820512321
Agent_Opinionated_Linex,100000008.1035039,11.03063626187789,220,8.10350389778614,3300,0.24556072417533759,0.7346361266386799
Agent_Opinionated_Priviledged,100000047.08437608,131.98483495906422,4666,47.0843760818243,69990,0.06727300483186785,0.356740803566014
Agent_Opinionated_Random,100000004.65162636,68.36592694219209,3279,4.651626363396645,49185,0.009457408485100427,0.0680401271722667
Agent_Opinionated_Underdog,99999988.55249175,25.769509006297955,782,-11.447508245706558,11730,-0.09759171564967228,-0.4442268668335449
RLBettingAgent,100000009.13800426,131.21430439799065,614,9.138004258275032,9210,0.09921828727768765,0.06964182983097815
XGBoostBettingAgent,99999941.966474,58.01748184165086,605,-58.03352600336075,9075,-0.6394878898441956,-1.0002765401255034
