state,action,reward,next_state,done
"[6.0, 45.027042388916016, 47.68485641479492, 54.178104400634766, 62.836822509765625, 41.10298156738281, 1.100000023841858, 1.5666667222976685, 2.4000000953674316, 1.4666666984558105, 1.29950749874115]",5,0.0,"[8.0, 66.21173095703125, 71.42601013183594, 76.33856201171875, 85.19344329833984, 52.64139175415039, 1.100000023841858, 1.5666667222976685, 2.4000000953674316, 1.2666666507720947, 1.29950749874115]",False
"[8.0, 66.21173095703125, 71.42601013183594, 76.33856201171875, 85.19344329833984, 52.64139175415039, 1.100000023841858, 1.5666667222976685, 2.4000000953674316, 1.2666666507720947, 1.29950749874115]",5,0.0,"[10.0, 91.1081314086914, 95.48480987548828, 90.3494644165039, 106.62911224365234, 64.3465805053711, 1.100000023841858, 2.4000000953674316, 2.4000000953674316, 1.4666666984558105, 1.29950749874115]",False
"[10.0, 91.1081314086914, 95.48480987548828, 90.3494644165039, 106.62911224365234, 64.3465805053711, 1.100000023841858, 2.4000000953674316, 2.4000000953674316, 1.4666666984558105, 1.29950749874115]",5,0.0,"[12.0, 117.2068862915039, 121.7497787475586, 113.8244857788086, 126.1780776977539, 78.20415496826172, 1.100000023841858, 2.4000000953674316, 4.900000095367432, 1.1666666269302368, 1.29950749874115]",False
"[12.0, 117.2068862915039, 121.7497787475586, 113.8244857788086, 126.1780776977539, 78.20415496826172, 1.100000023841858, 2.4000000953674316, 4.900000095367432, 1.1666666269302368, 1.29950749874115]",5,0.0,"[14.0, 143.6580810546875, 145.51516723632812, 137.62283325195312, 147.72068786621094, 94.25582122802734, 1.100000023841858, 2.4000000953674316, 4.900000095367432, 1.100000023841858, 1.1120197772979736]",False
"[14.0, 143.6580810546875, 145.51516723632812, 137.62283325195312, 147.72068786621094, 94.25582122802734, 1.100000023841858, 2.4000000953674316, 4.900000095367432, 1.100000023841858, 1.1120197772979736]",5,0.0,"[16.0, 165.9925079345703, 169.43324279785156, 163.50668334960938, 169.91600036621094, 110.52523040771484, 1.100000023841858, 2.299999952316284, 4.900000095367432, 1.100000023841858, 1.1323477029800415]",False
"[16.0, 165.9925079345703, 169.43324279785156, 163.50668334960938, 169.91600036621094, 110.52523040771484, 1.100000023841858, 2.299999952316284, 4.900000095367432, 1.100000023841858, 1.1323477029800415]",5,0.0,"[18.0, 190.25515747070312, 190.25515747070312, 187.9112548828125, 190.25515747070312, 125.65156555175781, 1.100000023841858, 2.299999952316284, 4.900000095367432, 1.100000023841858, 1.1323477029800415]",False
"[18.0, 190.25515747070312, 190.25515747070312, 187.9112548828125, 190.25515747070312, 125.65156555175781, 1.100000023841858, 2.299999952316284, 4.900000095367432, 1.100000023841858, 1.1323477029800415]",5,0.0,"[20.0, 212.6331329345703, 214.73915100097656, 215.3834686279297, 212.6331329345703, 139.58389282226562, 1.100000023841858, 2.299999952316284, 4.900000095367432, 1.100000023841858, 1.1323477029800415]",False
"[20.0, 212.6331329345703, 214.73915100097656, 215.3834686279297, 212.6331329345703, 139.58389282226562, 1.100000023841858, 2.299999952316284, 4.900000095367432, 1.100000023841858, 1.1323477029800415]",5,0.0,"[22.0, 234.67440795898438, 238.5627899169922, 238.5627899169922, 232.57656860351562, 155.10401916503906, 1.100000023841858, 2.200000047683716, 4.300000190734863, 1.4666666984558105, 1.1323477029800415]",False
"[22.0, 234.67440795898438, 238.5627899169922, 238.5627899169922, 232.57656860351562, 155.10401916503906, 1.100000023841858, 2.200000047683716, 4.300000190734863, 1.4666666984558105, 1.1323477029800415]",5,0.0,"[24.0, 258.1466064453125, 265.9170227050781, 266.72784423828125, 252.77401733398438, 172.98037719726562, 1.100000023841858, 2.200000047683716, 4.199999809265137, 1.4666666984558105, 1.1323477029800415]",False
"[24.0, 258.1466064453125, 265.9170227050781, 266.72784423828125, 252.77401733398438, 172.98037719726562, 1.100000023841858, 2.200000047683716, 4.199999809265137, 1.4666666984558105, 1.1323477029800415]",5,0.0,"[26.0, 283.8159484863281, 293.6013488769531, 294.29180908203125, 275.06671142578125, 186.01980590820312, 1.100000023841858, 2.200000047683716, 4.0, 1.4666666984558105, 1.1323477029800415]",False
