reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
-0.755,75.27875519,13,44.37133789,31,"[6, 5, 4, 1, 4]","[2, 2, 1, 3, 3]",0,0,4,4146
-0.4,67.21469116,21,37.54686356,36,"[0, 7, 5, 5, 4]","[3, 3, 2, 3, 4]",2,1,1,4147
-0.158522618,47.29782867,17,36.86910248,40,"[5, 2, 6, 7, 4]","[0, 6, 4, 3, 3]",6,3,2,4148
0.185,27.27225113,20,28.41460037,36,"[6, 5, 5, 3, 3]","[2, 1, 3, 2, 6]",0,0,1,4149
0.02,141.313324,22,36.56998062,37,"[3, 1, 8, 0, 6]","[6, 5, 1, 4, 3]",4,2,3,4150
0.835,248.8837585,22,39.98312759,34,"[1, 2, 6, 4, 4]","[7, 3, 3, 3, 1]",1,0,4,4151
-0.1,45.45246506,13,34.51376724,35,"[4, 1, 7, 3, 3]","[1, 3, 3, 6, 4]",4,2,0,4152
-1.207394213,46.5021286,24,40.32606506,40,"[4, 3, 4, 2, 6]","[5, 5, 4, 3, 4]",8,4,2,4153
-0.2125,79.58491516,23,32.66955185,34,"[2, 5, 3, 7, 6]","[3, 1, 4, 2, 1]",6,3,3,4154
0.72,33.65621948,20,32.12841415,34,"[0, 4, 1, 5, 3]","[2, 6, 7, 2, 4]",5,2,4,4155
0.455,342.9801331,25,36.27570343,41,"[7, 4, 5, 7, 3]","[1, 3, 6, 3, 2]",6,3,0,4156
-0.49,40.49746323,22,39.2934494,43,"[5, 6, 7, 5, 3]","[3, 4, 2, 6, 2]",4,2,3,4157
-1.218427438,84.3000946,19,46.74548721,33,"[4, 5, 5, 6, 2]","[4, 4, 2, 1, 0]",6,3,2,4158
-0.235,324.0920715,16,50.77532959,35,"[1, 2, 4, 4, 3]","[1, 2, 7, 1, 10]",9,4,3,4159
-0.4,72.0575943,19,47.90726471,37,"[5, 3, 4, 6, 5]","[1, 3, 2, 4, 4]",6,3,1,4160
-0.235,166.1228333,28,49.49929428,38,"[4, 8, 4, 4, 4]","[2, 4, 4, 4, 0]",2,1,0,4161
-1.03,120.1749725,22,49.43550873,40,"[3, 5, 4, 4, 5]","[2, 6, 7, 0, 4]",5,2,0,4162
0.32,77.14317322,21,53.47225189,40,"[5, 3, 3, 5, 4]","[3, 7, 5, 3, 2]",3,1,3,4163
-0.25,131.2925873,18,51.58581543,37,"[7, 5, 2, 4, 5]","[3, 2, 4, 4, 1]",0,0,1,4164
0.32,251.9988098,19,60.04337692,37,"[7, 2, 1, 6, 3]","[7, 3, 4, 3, 1]",0,0,2,4165
-0.630482809,997.2473145,20,54.25042725,38,"[4, 6, 3, 3, 5]","[1, 3, 4, 4, 5]",2,1,4,4166
0.595,116.0150986,21,53.22351074,32,"[4, 0, 2, 1, 4]","[4, 7, 2, 4, 4]",3,1,3,4167
0.125,103.1203537,11,46.02962494,35,"[3, 2, 4, 3, 2]","[4, 5, 5, 5, 2]",5,2,3,4168
0.36,234.8802948,17,44.65903854,35,"[3, 3, 3, 4, 3]","[3, 0, 7, 3, 6]",5,2,4,4169
0.035,46.58304596,25,39.82298279,39,"[5, 4, 2, 3, 7]","[3, 4, 3, 4, 4]",8,4,3,4170
-0.37,285.2688599,22,45.82106018,35,"[3, 3, 2, 3, 1]","[3, 5, 5, 2, 8]",9,4,2,4171
-0.195,46.05781555,24,36.63241959,36,"[1, 7, 3, 6, 3]","[2, 3, 4, 1, 6]",2,1,4,4172
0.725,97.02862549,24,48.43362427,37,"[3, 3, 6, 4, 6]","[4, 4, 4, 2, 1]",4,2,2,4173
0.01,54.62558746,23,42.50963211,39,"[3, 2, 3, 2, 5]","[2, 6, 5, 6, 5]",7,3,4,4174
-0.54,129.097702,24,51.40786743,35,"[6, 3, 1, 6, 3]","[5, 1, 2, 3, 5]",0,0,4,4175
0.239092179,100.873497,20,38.46735382,38,"[4, 5, 1, 3, 3]","[5, 6, 2, 6, 3]",7,3,1,4176
0.05,91.91295624,14,45.49594879,35,"[6, 4, 2, 0, 5]","[2, 2, 4, 3, 7]",9,4,3,4177
0.935,86.64842224,23,50.45263672,38,"[9, 2, 2, 2, 5]","[3, 3, 3, 6, 3]",0,0,0,4178
-0.16,135.3675079,21,50.19916534,35,"[4, 2, 3, 4, 4]","[3, 4, 3, 5, 3]",7,3,3,4179
0.133407863,343.5999756,22,49.99202347,34,"[2, 5, 5, 4, 1]","[1, 4, 3, 5, 4]",2,1,4,4180
0.355,70.67947388,16,42.06139374,32,"[1, 5, 2, 1, 6]","[6, 2, 3, 3, 3]",1,0,4,4181
0.575,113.1683884,27,54.35346603,41,"[4, 2, 6, 1, 8]","[9, 4, 2, 2, 3]",1,0,2,4182
0.214566228,280.7740173,22,47.37174988,37,"[2, 4, 5, 3, 5]","[5, 2, 2, 4, 5]",8,4,4,4183
0.785,193.4046326,22,44.4857254,38,"[5, 3, 1, 2, 3]","[5, 4, 9, 2, 4]",5,2,4,4184
0.935,51.6927948,18,43.7708931,37,"[4, 3, 2, 4, 3]","[3, 3, 6, 4, 5]",5,2,1,4185
0.305,602.8967896,23,49.38481903,40,"[1, 5, 5, 2, 4]","[1, 6, 5, 4, 7]",9,4,1,4186
-0.04,353.012085,24,53.68230438,36,"[6, 2, 5, 3, 7]","[5, 3, 0, 3, 2]",8,4,2,4187
0.215,332.5336304,16,52.83246613,33,"[4, 2, 4, 2, 4]","[2, 5, 3, 2, 5]",9,4,4,4188
-0.217610193,117.7713928,20,43.5838089,37,"[6, 2, 4, 3, 8]","[2, 2, 4, 3, 3]",8,4,4,4189
1.1,182.7134552,19,54.10628128,34,"[1, 4, 3, 3, 3]","[7, 4, 5, 1, 3]",1,0,3,4190
-1.389901864,122.113266,18,47.46938705,38,"[4, 3, 5, 4, 3]","[2, 5, 4, 3, 5]",9,4,3,4191
-0.176221531,109.8671494,17,37.87425995,35,"[3, 5, 5, 0, 3]","[4, 4, 4, 5, 2]",2,1,4,4192
-1.220158563,107.6899643,15,42.25653839,36,"[3, 5, 4, 5, 1]","[4, 2, 4, 3, 5]",2,1,2,4193
1.542998611,122.8035049,20,53.04190063,41,"[5, 8, 4, 5, 3]","[2, 2, 4, 3, 5]",2,1,2,4194
-0.465,255.7409363,14,35.32611847,28,"[4, 1, 3, 3, 1]","[2, 4, 3, 2, 5]",9,4,4,4195
-0.055,60.89496994,20,38.76973724,30,"[2, 4, 2, 4, 6]","[1, 5, 0, 3, 3]",8,4,4,4196
-0.22,47.10975266,14,30.12471008,30,"[6, 1, 2, 4, 1]","[3, 5, 6, 1, 1]",0,0,0,4197
0.556767347,68.72029877,30,50.44172287,44,"[4, 6, 6, 2, 3]","[2, 8, 6, 4, 3]",3,1,2,4198
0.4775,151.4090424,20,49.69599915,39,"[1, 6, 5, 1, 3]","[3, 5, 10, 1, 4]",5,2,3,4199
-0.265,79.65610504,18,35.0739975,34,"[4, 3, 8, 2, 4]","[3, 6, 2, 1, 1]",4,2,1,4200
0.74,95.6476593,21,54.14875412,40,"[2, 5, 5, 2, 5]","[4, 5, 4, 7, 1]",7,3,1,4201
-4.78,128.853714,20,48.84724426,35,"[1, 3, 4, 5, 2]","[2, 3, 3, 9, 3]",7,3,0,4202
0.404051484,86.48103333,26,45.25278091,37,"[4, 4, 3, 3, 6]","[2, 2, 2, 6, 5]",8,4,4,4203
-0.01,184.1200256,12,43.34457397,37,"[7, 5, 7, 2, 2]","[5, 2, 1, 0, 6]",0,0,2,4204
0.335,55.09943771,17,42.19615173,41,"[3, 5, 3, 6, 5]","[2, 3, 6, 7, 1]",7,3,0,4205
0.0475,45.19749832,22,36.78065872,37,"[3, 3, 3, 3, 3]","[2, 5, 7, 7, 1]",7,3,3,4206
0.38,69.46994019,19,34.13944626,33,"[3, 5, 4, 4, 2]","[3, 3, 4, 4, 1]",2,1,1,4207
-0.13,309.8905029,20,42.6410141,36,"[4, 4, 4, 2, 3]","[3, 2, 4, 4, 6]",9,4,1,4208
3.11,131.8355865,22,51.16104126,40,"[6, 3, 3, 6, 5]","[2, 4, 4, 4, 3]",0,0,0,4209
-0.475,1085.536377,15,47.9330864,33,"[5, 3, 2, 4, 4]","[3, 6, 4, 0, 2]",3,1,0,4210
0.59,317.5274353,24,47.75260162,37,"[2, 4, 2, 3, 1]","[4, 5, 7, 6, 3]",5,2,3,4211
-0.03,57.59621048,17,35.21265793,35,"[4, 2, 0, 0, 6]","[4, 7, 7, 2, 3]",3,1,1,4212
0.62,138.8035278,15,28.48884201,35,"[4, 1, 5, 3, 3]","[2, 4, 1, 6, 6]",7,3,0,4213
-0.835,71.69358826,19,33.45360947,36,"[4, 5, 3, 2, 9]","[4, 2, 3, 2, 2]",8,4,1,4214
-0.36,43.56578064,21,33.397892,37,"[3, 3, 4, 5, 6]","[1, 1, 3, 5, 6]",9,4,4,4215
0.275,50.13708878,18,27.34196091,37,"[7, 3, 0, 1, 3]","[5, 3, 6, 6, 3]",0,0,0,4216
-10.135,142.1293488,25,28.05298424,38,"[2, 4, 2, 10, 2]","[3, 4, 1, 5, 5]",6,3,1,4217
-0.746850289,497.5030518,24,29.64509201,37,"[3, 7, 6, 3, 4]","[3, 1, 2, 4, 4]",2,1,0,4218
-0.14,484.6770935,21,36.59506226,31,"[3, 5, 3, 1, 3]","[1, 2, 3, 7, 3]",7,3,4,4219
-0.175,33.54734421,16,29.47532272,40,"[3, 3, 3, 3, 6]","[5, 3, 4, 6, 4]",8,4,0,4220
0.14,467.4029541,15,37.42169571,34,"[7, 1, 4, 4, 4]","[4, 1, 4, 3, 2]",0,0,4,4221
11.96,585.0803223,18,43.47298813,38,"[8, 0, 3, 2, 1]","[5, 4, 6, 5, 4]",0,0,0,4222
1.04,48.24016953,15,40.99320221,34,"[4, 3, 0, 2, 1]","[5, 7, 4, 3, 5]",3,1,0,4223
0.98,46.99975967,17,40.9657402,39,"[2, 3, 2, 3, 4]","[4, 6, 8, 3, 4]",5,2,0,4224
0.64,350.2779236,18,52.29042435,36,"[5, 5, 3, 2, 1]","[6, 3, 6, 2, 3]",5,2,3,4225
-0.22,152.2944031,15,55.26210403,37,"[5, 3, 5, 6, 3]","[5, 1, 2, 6, 1]",7,3,1,4226
0.86671628,154.7325134,23,45.21873093,36,"[2, 4, 5, 3, 1]","[6, 4, 3, 3, 5]",1,0,1,4227
0.485,523.5756836,19,48.27349091,39,"[5, 4, 1, 3, 8]","[3, 2, 2, 6, 5]",8,4,4,4228
0.38,79.8084259,16,52.85017014,38,"[1, 4, 5, 6, 2]","[6, 1, 5, 6, 2]",6,3,2,4229
