state,action,reward,next_state,done
"[6.0, 59.88268280029297, 42.969146728515625, 42.969146728515625, 59.236000061035156, 42.969146728515625, 20.0, 20.0, 4.800000190734863, 3.291591167449951, 3.014028549194336]",5,0.0,"[8.0, 85.30108642578125, 56.4383659362793, 56.4383659362793, 80.75218963623047, 56.4383659362793, 19.700000762939453, 20.0, 4.800000190734863, 3.291591167449951, 2.1183602809906006]",False
"[8.0, 85.30108642578125, 56.4383659362793, 56.4383659362793, 80.75218963623047, 56.4383659362793, 19.700000762939453, 20.0, 4.800000190734863, 3.291591167449951, 2.1183602809906006]",5,0.0,"[10.0, 104.19154357910156, 68.79244995117188, 68.79244995117188, 101.71492004394531, 68.79244995117188, 5.1400861740112305, 20.0, 4.800000190734863, 3.191591262817383, 3.014028549194336]",False
"[10.0, 104.19154357910156, 68.79244995117188, 68.79244995117188, 101.71492004394531, 68.79244995117188, 5.1400861740112305, 20.0, 4.800000190734863, 3.191591262817383, 3.014028549194336]",5,0.0,"[12.0, 129.43678283691406, 83.95661163330078, 83.95661163330078, 127.21379089355469, 83.95661163330078, 4.940086364746094, 20.0, 4.800000190734863, 3.191591262817383, 2.7617955207824707]",False
"[12.0, 129.43678283691406, 83.95661163330078, 83.95661163330078, 127.21379089355469, 83.95661163330078, 4.940086364746094, 20.0, 4.800000190734863, 3.191591262817383, 2.7617955207824707]",5,0.0,"[14.0, 154.12705993652344, 105.97392272949219, 103.23099517822266, 150.48715209960938, 101.3477783203125, 4.540086269378662, 20.0, 4.800000190734863, 3.191591262817383, 2.726004123687744]",False
"[14.0, 154.12705993652344, 105.97392272949219, 103.23099517822266, 150.48715209960938, 101.3477783203125, 4.540086269378662, 20.0, 4.800000190734863, 3.191591262817383, 2.726004123687744]",5,0.0,"[16.0, 180.04331970214844, 132.933349609375, 126.44248962402344, 174.91867065429688, 114.90650177001953, 4.340085983276367, 20.0, 4.699999809265137, 3.0915913581848145, 2.247770071029663]",False
"[16.0, 180.04331970214844, 132.933349609375, 126.44248962402344, 174.91867065429688, 114.90650177001953, 4.340085983276367, 20.0, 4.699999809265137, 3.0915913581848145, 2.247770071029663]",5,0.0,"[18.0, 199.95187377929688, 157.3247528076172, 149.95458984375, 200.54788208007812, 131.40982055664062, 4.240086078643799, 20.0, 4.457709312438965, 3.0915913581848145, 2.247770071029663]",False
"[18.0, 199.95187377929688, 157.3247528076172, 149.95458984375, 200.54788208007812, 131.40982055664062, 4.240086078643799, 20.0, 4.457709312438965, 3.0915913581848145, 2.247770071029663]",5,0.0,"[20.0, 225.6082000732422, 185.97372436523438, 174.6918182373047, 227.40306091308594, 147.43209838867188, 4.040086269378662, 20.0, 3.8258557319641113, 1.6915912628173828, 3.014028549194336]",False
"[20.0, 225.6082000732422, 185.97372436523438, 174.6918182373047, 227.40306091308594, 147.43209838867188, 4.040086269378662, 20.0, 3.8258557319641113, 1.6915912628173828, 3.014028549194336]",5,0.0,"[24.0, 280.4415588378906, 244.38168334960938, 227.9110870361328, 269.37518310546875, 177.96864318847656, 3.9400861263275146, 20.0, 3.8258557319641113, 1.2915912866592407, 3.014028549194336]",False
"[24.0, 280.4415588378906, 244.38168334960938, 227.9110870361328, 269.37518310546875, 177.96864318847656, 3.9400861263275146, 20.0, 3.8258557319641113, 1.2915912866592407, 3.014028549194336]",5,0.0,"[26.0, 305.1615295410156, 272.0773620605469, 250.72447204589844, 289.819091796875, 193.1819305419922, 2.9400861263275146, 8.308828353881836, 4.457709312438965, 1.2915912866592407, 3.014028549194336]",False
"[26.0, 305.1615295410156, 272.0773620605469, 250.72447204589844, 289.819091796875, 193.1819305419922, 2.9400861263275146, 8.308828353881836, 4.457709312438965, 1.2915912866592407, 3.014028549194336]",5,0.0,"[28.0, 335.0106201171875, 302.173095703125, 276.7103271484375, 316.1550598144531, 210.0530548095703, 2.540086269378662, 8.308828353881836, 4.457709312438965, 1.2915912866592407, 3.014028549194336]",False
"[28.0, 335.0106201171875, 302.173095703125, 276.7103271484375, 316.1550598144531, 210.0530548095703, 2.540086269378662, 8.308828353881836, 4.457709312438965, 1.2915912866592407, 3.014028549194336]",5,0.0,"[30.0, 361.30364990234375, 329.48876953125, 303.973388671875, 339.0113220214844, 226.4060516357422, 2.4400861263275146, 8.308828353881836, 4.457709312438965, 1.2915912866592407, 2.9140284061431885]",False
"[30.0, 361.30364990234375, 329.48876953125, 303.973388671875, 339.0113220214844, 226.4060516357422, 2.4400861263275146, 8.308828353881836, 4.457709312438965, 1.2915912866592407, 2.9140284061431885]",5,0.0,"[32.0, 385.9487609863281, 359.2419128417969, 331.56591796875, 363.0822448730469, 243.70391845703125, 2.1400861740112305, 8.308828353881836, 4.457709312438965, 1.391591191291809, 2.9140284061431885]",False
"[32.0, 385.9487609863281, 359.2419128417969, 331.56591796875, 363.0822448730469, 243.70391845703125, 2.1400861740112305, 8.308828353881836, 4.457709312438965, 1.391591191291809, 2.9140284061431885]",5,0.0,"[34.0, 413.8669128417969, 389.35675048828125, 358.4767150878906, 390.3789367675781, 258.17315673828125, 1.9400861263275146, 8.308828353881836, 4.457709312438965, 1.391591191291809, 2.9140284061431885]",False
"[34.0, 413.8669128417969, 389.35675048828125, 358.4767150878906, 390.3789367675781, 258.17315673828125, 1.9400861263275146, 8.308828353881836, 4.457709312438965, 1.391591191291809, 2.9140284061431885]",5,0.0,"[36.0, 445.150634765625, 419.4128723144531, 386.7167053222656, 419.9580078125, 275.138427734375, 1.7400861978530884, 8.308828353881836, 4.457709312438965, 1.391591191291809, 2.81402850151062]",False
"[36.0, 445.150634765625, 419.4128723144531, 386.7167053222656, 419.9580078125, 275.138427734375, 1.7400861978530884, 8.308828353881836, 4.457709312438965, 1.391591191291809, 2.81402850151062]",5,0.0,"[38.0, 472.7162780761719, 440.89959716796875, 413.2347717285156, 440.89959716796875, 289.96484375, 1.3400861024856567, 8.308828353881836, 4.800000190734863, 1.391591191291809, 3.014028549194336]",False
"[38.0, 472.7162780761719, 440.89959716796875, 413.2347717285156, 440.89959716796875, 289.96484375, 1.3400861024856567, 8.308828353881836, 4.800000190734863, 1.391591191291809, 3.014028549194336]",5,0.0,"[40.0, 499.5534362792969, 470.94000244140625, 439.02484130859375, 472.15673828125, 308.1208190917969, 1.100000023841858, 8.20882797241211, 4.800000190734863, 1.2915912866592407, 3.014028549194336]",False
"[40.0, 499.5534362792969, 470.94000244140625, 439.02484130859375, 472.15673828125, 308.1208190917969, 1.100000023841858, 8.20882797241211, 4.800000190734863, 1.2915912866592407, 3.014028549194336]",5,0.9,"[61.0, 500.0, 500.0, 500.0, 500.0, 500.0, 1.100000023841858, 8.20882797241211, 4.800000190734863, 1.2915912866592407, 3.014028549194336]",True
