id,time,opinion,competitor
5,0.04787135124206543,0.2,0
53,0.04787135124206543,0.2,0
44,0.048868656158447266,0.2,0
35,0.048868656158447266,0.2,0
22,0.048868656158447266,0.2,0
53,0.06382870674133301,0.2,0
0,0.06382870674133301,0.2,0
2,0.06382870674133301,0.2,0
1,0.06382870674133301,0.2,0
3,0.06382870674133301,0.2,0
6,0.06382870674133301,0.2,0
4,0.06382870674133301,0.2,0
8,0.06382870674133301,0.2,0
7,0.06382870674133301,0.2,0
9,0.06382870674133301,0.2,0
10,0.06382870674133301,0.2,0
11,0.06382870674133301,0.2,0
12,0.06382870674133301,0.2,0
13,0.06382870674133301,0.2,0
14,0.06382870674133301,0.2,0
15,0.06382870674133301,0.2,0
17,0.06382870674133301,0.2,0
16,0.06382870674133301,0.2,0
24,0.06382870674133301,0.2,0
18,0.06382870674133301,0.2,0
19,0.06382870674133301,0.2,0
20,0.06382870674133301,0.2,0
21,0.06382870674133301,0.2,0
23,0.06382870674133301,0.2,0
25,0.06382870674133301,0.2,0
26,0.06382870674133301,0.2,0
27,0.06382870674133301,0.2,0
28,0.06382870674133301,0.2,0
30,0.06382870674133301,0.2,0
29,0.06482648849487305,0.2,0
32,0.06482648849487305,0.2,0
31,0.06482648849487305,0.2,0
33,0.06482648849487305,0.2,0
36,0.06482648849487305,0.2,0
34,0.06482648849487305,0.2,0
37,0.06482648849487305,0.2,0
41,0.06482648849487305,0.2,0
39,0.06482648849487305,0.2,0
40,0.06482648849487305,0.2,0
50,0.06482648849487305,0.2,0
42,0.06482648849487305,0.2,0
43,0.06482648849487305,0.2,0
49,0.06482648849487305,0.2,0
45,0.06482648849487305,0.2,0
46,0.06582331657409668,0.2,0
47,0.06582331657409668,0.2,0
51,0.06582331657409668,0.2,0
52,0.06582331657409668,0.2,0
54,0.06582331657409668,0.2,0
55,0.06582331657409668,0.2,0
5,0.06582331657409668,0.2,0
5,0.09374856948852539,0.2,0
38,0.09390044212341309,0.2,0
48,0.09390044212341309,0.2,0
22,0.09390044212341309,0.2,0
35,0.09390044212341309,0.2,0
55,0.09390044212341309,0.2,0
54,0.09419941902160645,0.2,0
44,0.09419941902160645,0.2,0
56,0.09419941902160645,0.2,0
58,0.09419941902160645,0.2,0
59,0.09440064430236816,0.2,0
53,0.09445977210998535,0.2,0
57,0.09451818466186523,0.2,0
0,0.09451818466186523,0.2,0
3,0.09451818466186523,0.2,0
1,0.0947866439819336,0.2,0
6,0.09484982490539551,0.2,0
4,0.09484982490539551,0.2,0
8,0.09484982490539551,0.2,0
7,0.09484982490539551,0.2,0
9,0.09484982490539551,0.2,0
10,0.09484982490539551,0.2,0
17,0.09520626068115234,0.2,0
11,0.09526586532592773,0.2,0
12,0.09526586532592773,0.2,0
13,0.09526586532592773,0.2,0
15,0.09526586532592773,0.2,0
16,0.09526586532592773,0.2,0
14,0.09526586532592773,0.2,0
19,0.09526586532592773,0.2,0
24,0.09526586532592773,0.2,0
18,0.09526586532592773,0.2,0
20,0.09526586532592773,0.2,0
21,0.09526586532592773,0.2,0
23,0.09526586532592773,0.2,0
25,0.09582924842834473,0.2,0
26,0.0958852767944336,0.2,0
27,0.09593415260314941,0.2,0
28,0.09593415260314941,0.2,0
29,0.09593415260314941,0.2,0
30,0.09593415260314941,0.2,0
32,0.09593415260314941,0.2,0
31,0.09593415260314941,0.2,0
33,0.09619784355163574,0.2,0
36,0.09619784355163574,0.2,0
34,0.09619784355163574,0.2,0
37,0.09619784355163574,0.2,0
41,0.09637761116027832,0.2,0
39,0.09637761116027832,0.2,0
40,0.09637761116027832,0.2,0
50,0.09637761116027832,0.2,0
42,0.09637761116027832,0.2,0
43,0.09637761116027832,0.2,0
49,0.09658503532409668,0.2,0
45,0.09658503532409668,0.2,0
52,0.09658503532409668,0.2,0
47,0.09658503532409668,0.2,0
